% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'rise last', 'rates earlier', 'NN JJ', 'NNS RBR', 'money paid for the use of money'
'increase prepared', 'rates necessary', 'VB VBN', 'NNS JJ', 'money paid for the use of money'
'decide government', 'rates dollar', 'VB NN', 'NNS NN', 'money paid for the use of money'
'thin generally', 'ahead weekend', 'JJ RB', 'RB NN', 'readiness to give attention'
'', 'may remain', '', 'MD VB', 'readiness to give attention'
'short-term high', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'bank curbs', 'rates allow', 'NN NNS', 'NNS VB', 'money paid for the use of money'
'equity industrial', 'platform launch', 'NP NP', 'NN VB', 'a share in a company or business'
'% 36', 'country Xs', 'NN AB', 'NN POS', 'a share in a company or business'
'minority receive', 'new company', 'NN VB', 'JJ NN', 'a share in a company or business'
'ownership controlling', '', 'NN JJ', '', 'a share in a company or business'
'business pursue', 'company said', 'NN VB', 'NN VBD', 'activity, etc. that one gives attention to'
'% 54', 'manhattan national', 'NN AB', 'NP NP', 'a share in a company or business'
'well proposal', 'third parties', 'RB NN', 'JJ NNS', 'readiness to give attention'
'abandoned phelan', '', 'VBN NP', '', 'advantage, advancement or favor'
'introduced regulation', 'protecting little', 'VBN NN', 'VBG JJ', 'advantage, advancement or favor'
'investor lack', 'responsible', 'NN NN', 'JJ', 'readiness to give attention'
'investor solid', '', 'NN JJ', '', 'readiness to give attention'
'little said', 'treasury bonds', 'JJ VBD', 'NP NNS', 'readiness to give attention'
'buying greater', 'metal', 'NN JJR', 'NN', 'readiness to give attention'
'buying sparked', 'real-estate companies', 'NN VBD', 'NN NNS', 'readiness to give attention'
'kluge wX', 'telecommunications robotic', 'NP NP', 'NN JJ', 'a share in a company or business'
'representing longer', '', 'VBG RBR', '', 'advantage, advancement or favor'
'buying significant', '', 'NN JJ', '', 'readiness to give attention'
'buying fresh', 'sidelined ahead', 'NN JJ', 'VBN RB', 'readiness to give attention'
'buying strong', 'helped lift', 'NN JJ', 'VBD VB', 'readiness to give attention'
'parties limited', 'generally means', 'NNS VBN', 'RB VBZ', 'a share in a company or business'
'national diminished', 'teams came', 'JJ VBN', 'NNS VBD', 'quality of causing attention to be given to'
'whose -', 'represented three', 'WP ?', 'VBN AB', 'a share in a company or business'
'considerable unocal', 'prospective buyers', 'JJ NP', 'JJ NNS', 'readiness to give attention'
'uXsX panama', 'stake happily', 'NP NP', 'NN RB', 'advantage, advancement or favor'
'accumulate notes', 'notes nXt', 'VBP NNS', 'NNS RB', 'money paid for the use of money'
'mention nXt', 'horse racing', 'VB RB', 'NN NN', 'readiness to give attention'
'investor japanese', 'uXsX securities', 'NN JJ', 'NP NNS', 'readiness to give attention'
'buying', 'pont declared', 'NN', 'NP VBD', 'readiness to give attention'
'coverage cash', 'meaningfully improve', 'NN NN', 'RB VB', 'money paid for the use of money'
'general golfersX.', 'magazine something', 'JJ ?', 'NN NN', 'activity, etc. that one gives attention to'
'black catered', 'win', 'JJ VBD', 'VB', 'advantage, advancement or favor'
'economic different', '', 'JJ JJ', '', 'activity, etc. that one gives attention to'
'addition', 'ozone depletion', 'NN', 'NN NN', 'readiness to give attention'
'buying overall', 'remained strong', 'NN JJ', 'VBD JJ', 'readiness to give attention'
'minority taxes', 'extraordinary items', 'NN NNS', 'JJ NNS', 'a share in a company or business'
'uXsX', 'may big', 'NP', 'MD JJ', 'readiness to give attention'
'Xs uXsX', 'somalia consists', 'POS NP', 'NP VBZ', 'advantage, advancement or favor'
'financial usual', 'property sold', 'JJ JJ', 'NN VBN', 'a share in a company or business'
'conflicts customers', '', 'NNS NNS', '', 'advantage, advancement or favor'
'conflict definite', 'auction house', 'NN JJ', 'NN NN', 'advantage, advancement or favor'
'conflict see', 'says sotheby', 'NN VB', 'VBZ NP', 'advantage, advancement or favor'
'conflict alleged', 'set dummy', 'NN JJ', 'VBN JJ', 'advantage, advancement or favor'
'conflicts operators', 'stabilize franchisee', 'NNS NNS', 'VB NN', 'advantage, advancement or favor'
'conflicts fees', '', 'NNS NNS', '', 'advantage, advancement or favor'
'conflict problems', 'risk cheating', 'NN NNS', 'NN VBG', 'advantage, advancement or favor'
'conflicts prevent', 'already put', 'NNS VB', 'RB VBN', 'advantage, advancement or favor'
'conflicts built-in', '', 'NNS JJ', '', 'advantage, advancement or favor'
'conflict', 'standard committee', 'NN', 'NN NN', 'advantage, advancement or favor'
'conflict Xs', 'says referring', 'NN VBZ', 'VBZ VBG', 'advantage, advancement or favor'
'boost %', 'expense reflecting', 'NN NN', 'NN VBG', 'money paid for the use of money'
'scientific fall', 'cold fusion', 'JJ NN', 'JJ NN', 'readiness to give attention'
'company', 'television trucking', 'NN', 'NN NN', 'a share in a company or business'
'high moment', 'rates determination', 'JJ NN', 'NNS NN', 'money paid for the use of money'
'fixed-dollar X', 'payments', 'JJ POS', 'NNS', 'money paid for the use of money'
'companies invest', '', 'NNS VB', '', 'a share in a company or business'
'pay zeros', 'maturity meaning', 'VBP NNS', 'NN VBG', 'money paid for the use of money'
'inflation bonds', 'rates kick', 'NN NNS', 'NNS VBP', 'money paid for the use of money'
'much without', 'children nXt', 'JJ IN', 'NNS RB', 'money paid for the use of money'
'taxes back', 'civil fraud', 'NNS JJ', 'JJ NN', 'money paid for the use of money'
'', 'retirement community', '', 'NN NN', 'a share in a company or business'
'sold flaX', 'oil wells', 'VBN NP', 'NN NNS', 'a share in a company or business'
'based one', 'rates company', 'VBN AB', 'NNS NN', 'money paid for the use of money'
'high -', 'rate prevail', 'JJ ?', 'NN VB', 'money paid for the use of money'
'usually -', 'rates stay', 'RB ?', 'NNS VBP', 'money paid for the use of money'
'', 'rates plunge', '', 'NNS VBP', 'money paid for the use of money'
'higher marginally', 'yield policy', 'JJR RB', 'NN NN', 'money paid for the use of money'
'higher fractionally', 'rate', 'JJR RB', 'NN', 'money paid for the use of money'
'buying', 'also resurfaced', 'NN', 'RB VBD', 'readiness to give attention'
'high using', 'rates essential', 'JJ VBG', 'NNS JJ', 'money paid for the use of money'
'high using', 'rates fight', 'JJ VBG', 'NNS VB', 'money paid for the use of money'
'doubling despite', 'rates last', 'NN IN', 'NNS JJ', 'money paid for the use of money'
'', 'else money', '', 'RB NN', 'readiness to give attention'
'lot see', 'kind things', 'NN VBP', 'NN NNS', 'readiness to give attention'
'short', 'new york', 'JJ', 'NP NP', 'a share in a company or business'
'short month', '', 'JJ NN', '', 'a share in a company or business'
'short reported', 'dropped 523,920,214', 'JJ VBD', 'VBD AB', 'a share in a company or business'
'short amex', 'climbed 3', 'JJ NP', 'VBD AB', 'a share in a company or business'
'short amex', 'heading upward', 'JJ NP', 'VBG RB', 'a share in a company or business'
'short', 'number shares', 'JJ', 'NN NNS', 'a share in a company or business'
'short increase', 'bullish borrowed', 'JJ NN', 'JJ VBN', 'a share in a company or business'
'short fluctuation', 'certain stocks', 'JJ NN', 'JJ NNS', 'a share in a company or business'
'short board', 'ratio slipped', 'JJ NP', 'NN VBD', 'a share in a company or business'
'short', 'international business', 'JJ', 'NP NP', 'a share in a company or business'
'short corpX', 'slid 4,469,167', 'JJ NP', 'VBD AB', 'a share in a company or business'
'short amex', 'volume leader', 'JJ NP', 'NN NN', 'a share in a company or business'
'short issues', 'position least', 'JJ NNS', 'NN JJS', 'a share in a company or business'
'include fasteners', 'costs $', 'VB NNS', 'NNS NN', 'money paid for the use of money'
'attractive relatively', 'rates pushed', 'JJ RB', 'NNS VBD', 'money paid for the use of money'
'provisions million', 'payments loans', 'NNS AB', 'NNS NNS', 'money paid for the use of money'
'foregone made', 'm$ 200', 'JJ VBN', 'NN AB', 'money paid for the use of money'
'sign data', 'rates may', 'NN NNS', 'NNS MD', 'money paid for the use of money'
'lower pessimism', 'rates contributed', 'JJR NN', 'NNS VBD', 'money paid for the use of money'
'key allowed', 'rate fall', 'JJ VBN', 'NN VB', 'money paid for the use of money'
'watching', 'sport plummet', 'VBG', 'NN VB', 'readiness to give attention'
'controlling seek', 'harley-davidson seek', 'NN VB', 'NP VB', 'a share in a company or business'
'says wyss', 'rates almost', 'VBZ NP', 'NNS RB', 'money paid for the use of money'
'falling tilts', 'rates force', 'VBG VBZ', 'NNS VBP', 'money paid for the use of money'
'higher pay', 'newly issued', 'JJR VBP', 'RB VBN', 'money paid for the use of money'
'', 'rates dropped', '', 'NNS VBN', 'money paid for the use of money'
'save corporations', 'costs', 'VBP NNS', 'NNS', 'money paid for the use of money'
'doubts economy', 'rates fall', 'VBZ NN', 'NNS VB', 'money paid for the use of money'
'resettable bonds', 'rate 10', 'JJ NNS', 'NN AB', 'money paid for the use of money'
'hopes raised', 'rates continue', 'NNS VBD', 'NNS VB', 'money paid for the use of money'
'debt overhead', '', 'NN NN', '', 'money paid for the use of money'
'sell unsuccessfully', 'lower manhattan', 'VB RB', 'JJR NP', 'a share in a company or business'
'sell tried', 'along atlas', 'VB VBD', 'IN NP', 'a share in a company or business'
'Xs estate', 'shortly october', 'POS NN', 'RB NP', 'a share in a company or business'
'enforce navy', 'pressuring uXsX', 'VB NN', 'VBG NP', 'advantage, advancement or favor'
'financial credits', 'films helped', 'JJ NNS', 'NNS VBN', 'a share in a company or business'
'Xs warner', 'accommodate mgmua', 'POS NP', 'VB NP', 'advantage, advancement or favor'
'think nXt', 'let mrX', 'VB RB', 'VB NP', 'advantage, advancement or favor'
'Xs columbia', 'studio jointly', 'POS NP', 'NN RB', 'a share in a company or business'
'moreover', 'asset-backed securities', 'RB', 'JJ NNS', 'money paid for the use of money'
'represent certificates', 'specially created', 'VBP NNS', 'RB VBN', 'a share in a company or business'
'represent trust', 'obligations banks', 'VB NN', 'NNS NNS', 'a share in a company or business'
'holds property', '139 facilities', 'VBZ NP', 'AB NNS', 'a share in a company or business'
'one industry', 'hit hardest', 'AB NN', 'VBD RBS', 'a share in a company or business'
'company tokyo-based', 'include financial', 'NN JJ', 'VBP JJ', 'a share in a company or business'
'excluding quarter', 'increased 6X1', 'VBG NN', 'VBD AB', 'money paid for the use of money'
'strategic clear', 'waiting delta', 'JJ JJ', 'VBG NP', 'advantage, advancement or favor'
'refinery pipeline', 'second refinery', 'NN NN', 'JJ NN', 'a share in a company or business'
'moves cost-reduction', 'income', 'NNS JJ', 'NN', 'money paid for the use of money'
'', 'paid semi-annually', '', 'VBN RB', 'money paid for the use of money'
'appears article', 'user', 'VBZ NN', 'NN', 'quality of causing attention to be given to'
'Xs subscriber', 'area', 'POS NN', 'NN', 'activity, etc. that one gives attention to'
'topic hot', 'abortion issue', 'NN JJ', 'NN NN', 'readiness to give attention'
'soviet rumors', 'also pushed', 'JJ NP', 'RB VBD', 'readiness to give attention'
'one-third newspapers', 'international herald', 'JJ NNS', 'NP NP', 'a share in a company or business'
'reduce leeway', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'private pursuit', '', 'JJ NN', '', 'advantage, advancement or favor'
'also company', 'book publishing', 'RB NN', 'NN NN', 'a share in a company or business'
'business pursue', 'consulting', 'NN VB', 'NN', 'activity, etc. that one gives attention to'
'controlling owning', 'company', 'VBG VBG', 'NN', 'a share in a company or business'
'decline offset', 'income', 'NN VBP', 'NN', 'money paid for the use of money'
'lower', 'income occurred', 'JJR', 'NN VBD', 'money paid for the use of money'
'minority payments', 'rose 252', 'NN NNS', 'VBD AB', 'a share in a company or business'
'minority payment', '', 'NN NN', '', 'a share in a company or business'
'consumer revive', 'little-publicized 1972', 'NN VB', 'JJ AB', 'readiness to give attention'
'one-sixth offering', 'grace energy', 'JJ NN', 'NP NP', 'a share in a company or business'
'higher price', 'expenses', 'JJR NN', 'NNS', 'money paid for the use of money'
'% 22', 'company fletcher', 'NN AB', 'NN NP', 'a share in a company or business'
'Xs doman', 'western forest', 'POS NP', 'NP NP', 'a share in a company or business'
'% 44', 'western forest', 'NN AB', 'NP NP', 'a share in a company or business'
'uXsX direction', 'rates remains', 'NP NN', 'NNS VBZ', 'money paid for the use of money'
'investor', 'switches back', 'NN', 'VBZ RB', 'readiness to give attention'
'attracted also', 'strong earnings', 'VBD RB', 'JJ NNS', 'readiness to give attention'
'flurry despite', 'shares dealers', 'NN IN', 'NNS NNS', 'readiness to give attention'
'uXkX high', 'rates', 'NP JJ', 'NNS', 'money paid for the use of money'
'high face', 'rates gained', 'JJ NN', 'NNS VBD', 'money paid for the use of money'
'best nXt', 'stockholders', 'JJS RB', 'NNS', 'advantage, advancement or favor'
'lower speculation', 'rates', 'JJR NN', 'NNS', 'money paid for the use of money'
'higher loans', 'margins minor', 'JJR NNS', 'NNS JJ', 'money paid for the use of money'
'short board', 'fell 4X2', 'JJ NP', 'VBD AB', 'a share in a company or business'
'buying fresh', 'later trading', 'NN JJ', 'RB NN', 'readiness to give attention'
'predicting said', 'rates stay', 'VBG VBD', 'NNS VB', 'money paid for the use of money'
'management hotels', 'sold auction', 'NN NNS', 'VBN NN', 'a share in a company or business'
'management properties', 'nXt disclosed', 'NN NNS', 'RB VBN', 'a share in a company or business'
'sell plans', '36 hotels', 'VB VBZ', 'AB NNS', 'a share in a company or business'
'sale excluded', 'trust corporation', 'NN VBN', 'NN NN', 'a share in a company or business'
'expressions new', 'two previous', 'NNS JJ', 'AB JJ', 'readiness to give attention'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'tighter volume', 'margins', 'JJR NN', 'NNS', 'money paid for the use of money'
'widened loss', 'expense cited', 'VBD NN', 'NN VBN', 'money paid for the use of money'
'net lower', 'expense', 'JJ JJR', 'NN', 'money paid for the use of money'
'missed healthvest', 'payment bank', 'VBD NP', 'NN NP', 'money paid for the use of money'
'principal million', 'payments owed', 'NN AB', 'NNS VBD', 'money paid for the use of money'
'cellular uXsX', 'markets mccaw', 'JJ NP', 'NNS NP', 'a share in a company or business'
'holds mccaw', 'contiguous markets', 'VBZ NP', 'JJ NNS', 'a share in a company or business'
'lin unless', 'contiguous', 'NP IN', 'JJ', 'a share in a company or business'
'best Xs', '', 'JJS POS', '', 'advantage, advancement or favor'
'Xs company', '', 'POS NN', '', 'a share in a company or business'
'less far', 'proceeding way', 'JJR RB', 'VBG NN', 'money paid for the use of money'
'higher loans', 'margins negligible', 'JJR NNS', 'NNS JJ', 'money paid for the use of money'
'brazilian decline', 'paid $', 'JJ NN', 'VBN NN', 'money paid for the use of money'
'net %', 'margin difference', 'JJ NN', 'NN NN', 'money paid for the use of money'
'pacific canadian', 'transportation telecommunications', 'NP NP', 'NN NNS', 'a share in a company or business'
'business pursue', 'capital holding', 'NN VB', 'NP NP', 'activity, etc. that one gives attention to'
'public degree', 'stake', 'JJ NN', 'NN', 'advantage, advancement or favor'
'uXsX direction', 'rates remained', 'NP NN', 'NNS VBD', 'money paid for the use of money'
'owners property', 'san francisco', 'NNS NN', 'NP NP', 'a share in a company or business'
'hanging still', 'rates dollar', 'VBG RB', 'NNS NN', 'money paid for the use of money'
'', 'rate-sensitive shares', '', 'JJ NNS', 'money paid for the use of money'
'allowing credit', 'rates drop', 'VBG NN', 'NNS VB', 'money paid for the use of money'
'equity Xs', 'south africa', 'NN POS', 'NP NP', 'a share in a company or business'
'majority sold', 'brazilian affiliate', 'NN VBD', 'JJ NN', 'a share in a company or business'
'% 10', 'rocky mountain', 'NN AB', 'NP NP', 'a share in a company or business'
'high like', 'rates slow', 'JJ IN', 'NNS JJ', 'money paid for the use of money'
'public unresponsive', '', 'JJ JJ', '', 'advantage, advancement or favor'
'public view', '', 'JJ NN', '', 'advantage, advancement or favor'
'lower longing', 'rates', 'JJR NN', 'NNS', 'money paid for the use of money'
'- represents', 'rates short-run', '? VBZ', 'NNS JJ', 'money paid for the use of money'
'accruing nXt', 'bank said', 'VBG RB', 'NN VBD', 'money paid for the use of money'
'soft-drink wine', 'nXt break', 'NN NN', 'RB NN', 'a share in a company or business'
'brewing bolster', 'effort grab', 'NN VB', 'NN VB', 'a share in a company or business'
'britain', 'include beefeater', 'NP', 'VBP NP', 'a share in a company or business'
'lower reserve', 'rates coming', 'VB NP', 'NNS VBG', 'money paid for the use of money'
'best contrary', 'amr shareholders', 'JJS JJ', 'NP NNS', 'advantage, advancement or favor'
'company louis', 'solid waste', 'NN NP', 'JJ NN', 'a share in a company or business'
'value face', 'accruing instead', 'NN NN', 'VBG RB', 'money paid for the use of money'
'accrued rules', 'deductible company', 'VBN NNS', 'JJ NN', 'money paid for the use of money'
'buy-out million', 'payments existing', 'NN AB', 'NNS VBG', 'money paid for the use of money'
'rather company', 'payments', 'RB NN', 'NNS', 'money paid for the use of money'
'lower since', 'rate nXt', 'JJR IN', 'NN RB', 'money paid for the use of money'
'pay nXt', 'least one', 'VB RB', 'JJS AB', 'money paid for the use of money'
'deduction deny', 'actually paid', 'NN VB', 'RB VBN', 'money paid for the use of money'
'accrued taxed', '', 'VBN VBN', '', 'money paid for the use of money'
'', 'deduction engine', '', 'NN NN', 'money paid for the use of money'
'Xs northrop', 'expense also', 'POS NP', 'NN RB', 'money paid for the use of money'
'', 'expense surged', '', 'NN VBD', 'money paid for the use of money'
'entrenched bump', '', 'JJ VB', '', 'advantage, advancement or favor'
'declines recent', 'rates money', 'NNS JJ', 'NNS NN', 'money paid for the use of money'
'computing billion', 'government Xs', 'VBG AB', 'NN POS', 'money paid for the use of money'
'purchase shares', 'start-up company', 'VB NNS', 'JJ NN', 'a share in a company or business'
'majority acquire', 'later', 'NN VB', 'RB', 'a share in a company or business'
'million 250', 'costs', 'AB AB', 'NNS', 'money paid for the use of money'
'long-term best', 'shareholders said', 'JJ JJS', 'NNS VBD', 'advantage, advancement or favor'
'initial', 'rate set', 'JJ', 'NN VBN', 'money paid for the use of money'
'', 'payments bonds', '', 'NNS NNS', 'money paid for the use of money'
'principal taxation', '', 'NN NN', '', 'money paid for the use of money'
'determine numbers', 'rates heading', 'VB NNS', 'NNS VBG', 'money paid for the use of money'
'', 'rates barely', '', 'NNS RB', 'money paid for the use of money'
'different exist', 'express', 'JJ VBP', 'VB', 'activity, etc. that one gives attention to'
'heard people', 'taken seriously', 'VBN NNS', 'VBN RB', 'advantage, advancement or favor'
'widespread group', 'manufacturing property', 'JJ NP', 'NN NN', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'stir managers', 'stock', 'VB NNS', 'NN', 'readiness to give attention'
'lower offset', 'income poorer', 'JJR VBN', 'NN JJR', 'money paid for the use of money'
'primarily share', 'expense $', 'RB NN', 'NN NN', 'money paid for the use of money'
'', 'expense 1988', '', 'NN AB', 'money paid for the use of money'
'significant offers', 'rate savings', 'JJ VBZ', 'NN NNS', 'money paid for the use of money'
'% 50', 'working woman', 'NN AB', 'NP NP', 'a share in a company or business'
'% 50', 'working woman', 'NN AB', 'NP NP', 'a share in a company or business'
'minority taxes', 'increased 16', 'NN NNS', 'VBD AB', 'a share in a company or business'
'minority taxes', 'extraordinary items', 'NN NNS', 'JJ NNS', 'a share in a company or business'
'Xs sotheby', 'property catalog', 'POS NP', 'NN NN', 'a share in a company or business'
'financial level', 'collection', 'JJ NN', 'NN', 'a share in a company or business'
'financial works', 'ought hidden', 'JJ NNS', 'MD VBN', 'a share in a company or business'
'moves recent', 'rates around', 'NNS JJ', 'NNS IN', 'money paid for the use of money'
'average bonds', 'rate 13X1', 'JJ NNS', 'NN AB', 'money paid for the use of money'
'year million', 'payments', 'NN AB', 'NNS', 'money paid for the use of money'
'investment good', 'rates going', 'NN JJ', 'NNS VBG', 'money paid for the use of money'
'public acting', 'let washington', 'JJ VBG', 'VBD NP', 'advantage, advancement or favor'
'heavily weigh', 'rate-sensitive stocks', 'RB VBP', 'JJ NNS', 'money paid for the use of money'
'buying found', 'actively sold', 'NN VBD', 'RB VBN', 'readiness to give attention'
'pursue posts', '', 'VB NNS', '', 'activity, etc. that one gives attention to'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'chemicals Xs', 'include among', 'NNS POS', 'VBP IN', 'a share in a company or business'
'best generous', 'mesa shareholders', 'JJS JJ', 'NP NNS', 'advantage, advancement or favor'
'fees report', 'current income', 'NNS VB', 'JJ NN', 'money paid for the use of money'
'', 'words goes', '', 'NNS VBZ', 'readiness to give attention'
'export kindled', 'among many', 'NN VBN', 'IN JJ', 'readiness to give attention'
'balcor', 'real estate', 'NP', 'JJ NN', 'a share in a company or business'
'pursue resigned', 'positions', 'VB VBD', 'NNS', 'activity, etc. that one gives attention to'
'primarily company', 'radio television', 'RB NN', 'NN NN', 'a share in a company or business'
'uXsX important', '', 'NP JJ', '', 'advantage, advancement or favor'
'satisfying', 'priority panamanian', 'VBG', 'NN JJ', 'advantage, advancement or favor'
'lower credit', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'Xs pANDg', 'federal level', 'POS NP', 'JJ NN', 'advantage, advancement or favor'
'% 80', 'firm may', 'NN AB', 'NN NP', 'a share in a company or business'
'earnings projections', 'tax depreciation', 'NNS NNS', 'NN NN', 'money paid for the use of money'
'', 'imposed unpaid', '', 'VBN JJ', 'money paid for the use of money'
'short-term lid', 'rates fed', 'JJ NN', 'NNS NP', 'money paid for the use of money'
'short-term key', 'rate decline', 'JJ JJ', 'NN VB', 'money paid for the use of money'
'said bank', 'payments argentina', 'VBD NN', 'NNS NP', 'money paid for the use of money'
'net drop', 'margin 13', 'JJ NN', 'NN AB', 'money paid for the use of money'
'net Xs', 'income rose', 'JJ POS', 'NN VBD', 'money paid for the use of money'
'sale million', 'foreign leasing', 'NN AB', 'JJ NN', 'a share in a company or business'
'net', 'margin-the difference', 'JJ', 'NN NN', 'money paid for the use of money'
'unrelated expenses', 'rose 5X4', 'JJ NNS', 'VBD AB', 'money paid for the use of money'
'unrelated sources', 'said continues', 'JJ NNS', 'VBD VBZ', 'money paid for the use of money'
'net', 'income third', 'JJ', 'NN JJ', 'money paid for the use of money'
'best think', 'caci stockholders', 'JJS VBP', 'NP NNS', 'advantage, advancement or favor'
'lid keep', 'rates boost', 'NN VB', 'NNS VB', 'money paid for the use of money'
'ranchers legitimate', 'preserving herds', 'NNS JJ', 'VBG NNS', 'advantage, advancement or favor'
'uXsX growing', 'nation Xs', 'NP VBG', 'NN POS', 'readiness to give attention'
'taxes profit', 'costs $', 'NNS NN', 'NNS NN', 'money paid for the use of money'
'public conduct', 'hence criminal', 'JJ NN', 'RB JJ', 'advantage, advancement or favor'
'falling despite', 'rates', 'VBG IN', 'NNS', 'money paid for the use of money'
'greater branches', 'last day', 'JJR NNS', 'JJ NN', 'readiness to give attention'
'follow closely', 'rate trends', 'VB RB', 'NN NNS', 'money paid for the use of money'
'april late', 'rates recent', 'NP JJ', 'NNS JJ', 'money paid for the use of money'
'short-term unlikely', 'rates rise', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'sale discussed', 'showtime cable', 'NN VBN', 'NP NN', 'a share in a company or business'
'funds federal', 'rate dip', 'NNS JJ', 'NN VB', 'money paid for the use of money'
'equity selling', 'japanese joint', 'NN VBG', 'JJ NN', 'a share in a company or business'
'average', 'rate fell', 'JJ', 'NN VBD', 'money paid for the use of money'
'lost nXt', '', 'VBN RB', '', 'readiness to give attention'
'make failed', 'payments nearly', 'VB VBD', 'NNS RB', 'money paid for the use of money'
'bear notes', '5X5 %', 'VB NNS', 'AB NN', 'money paid for the use of money'
'expressions said', 'transaction borrowers', 'NNS VBD', 'NN NNS', 'readiness to give attention'
'corpX boston', 'expressed buy-out', 'NP NP', 'VBN NN', 'readiness to give attention'
'renewed despite', 'public topics', 'VBN IN', 'NN NNS', 'readiness to give attention'
'advertiser died', '', 'NN VBD', '', 'readiness to give attention'
'lost seem', 'whole subject', 'VBN VBP', 'JJ NN', 'readiness to give attention'
'stir hoping', 'old masters', 'VB VBG', 'JJ NNS', 'readiness to give attention'
'express clients', 'paintings nXt', 'VBP NNS', 'NNS RB', 'readiness to give attention'
'protecting', '', 'VBG', '', 'advantage, advancement or favor'
'% 15', 'datatimes corpX', 'NN AB', 'NP NP', 'a share in a company or business'
'% 6X25', 'rates providing', 'NN AB', 'NNS VBG', 'money paid for the use of money'
'equity corpX', 'kia', 'NN NP', 'NP', 'a share in a company or business'
'bring funds', 'rates says', 'VB NNS', 'NNS VBZ', 'money paid for the use of money'
'says companies', 'rates far', 'VBZ NNS', 'NNS RB', 'money paid for the use of money'
'annualized', 'rates certain', 'VBN', 'NNS JJ', 'money paid for the use of money'
'gas industrial', 'expand subsidiary', 'NN JJ', 'VB NN', 'a share in a company or business'
'% 51', 'makro inc', 'NN AB', 'NP NP', 'a share in a company or business'
'institutional revival', 'smaller growth', 'JJ NN', 'JJR JJ', 'readiness to give attention'
'turnaround real', 'small growth', 'NN JJ', 'JJ NN', 'readiness to give attention'
'income changes', 'dividends \*', 'NN NNS', 'NNS SYM', 'money paid for the use of money'
'balked banks', 'rate banking', 'VBD NNS', 'NN NN', 'money paid for the use of money'
'fees bank', 'nXt likely', 'NNS NN', 'RB JJ', 'money paid for the use of money'
'', 'rates lower', '', 'NNS JJR', 'money paid for the use of money'
'lower nXt', 'rates weaken', 'VB RB', 'NNS VB', 'money paid for the use of money'
'lower pay', 'rates', 'JJR VBP', 'NNS', 'money paid for the use of money'
'including billion', '10 years', 'VBG AB', 'AB NNS', 'money paid for the use of money'
'net', 'income sank', 'JJ', 'NN VBD', 'money paid for the use of money'
'', 'rate short-term', '', 'NN JJ', 'money paid for the use of money'
'million 2', 'payments medium', 'AB AB', 'NNS JJ', 'money paid for the use of money'
'net *interest', 'income $', 'JJ NN', 'NN NN', 'money paid for the use of money'
'accruing loans', 'net *interest', 'VBG NNS', 'JJ NN', 'money paid for the use of money'
'million 10', 'income third', 'AB AB', 'NN JJ', 'money paid for the use of money'
'sources income', 'climbed 12', 'NNS NN', 'VBD AB', 'money paid for the use of money'
'net Xs', 'margin southeast', 'JJ POS', 'NN NP', 'money paid for the use of money'
'net increase', 'income reflecting', 'JJ NN', 'NN VBG', 'money paid for the use of money'
'net Xs', 'margin fell', 'JJ POS', 'NN VBD', 'money paid for the use of money'
'derived revenue', 'dividends jumped', 'VBN NN', 'NNS VBD', 'money paid for the use of money'
'Xs company', 'national car', 'POS NN', 'NP NP', 'a share in a company or business'
'net including', 'slightly $', 'JJ VBG', 'RB NN', 'money paid for the use of money'
'working economy', 'rates', 'VBG NN', 'NNS', 'money paid for the use of money'
'economic national', 'much better', 'JJ JJ', 'RB RB', 'advantage, advancement or favor'
'private allowing', 'bankers investors', 'JJ VBG', 'NNS NNS', 'advantage, advancement or favor'
'public attracted', 'underlying bill', 'JJ VBN', 'JJ NN', 'readiness to give attention'
'minority taxation', '14 million', 'NN NN', 'AB AB', 'a share in a company or business'
'short-term', 'rates fell', 'JJ', 'NNS VBD', 'money paid for the use of money'
'', '', '', '', 'readiness to give attention'
'higher rate', 'income', 'JJR NN', 'NN', 'money paid for the use of money'
'% 15', 'birkel closely', 'NN AB', 'NP RB', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'trading together', 'region', 'NN RB', 'NN', 'a share in a company or business'
'drop expects', 'rates help', 'NN VBZ', 'NNS VB', 'money paid for the use of money'
'company holding', 'oil natural', 'NN VBG', 'NN JJ', 'a share in a company or business'
'% 56', 'new field', 'NN AB', 'JJ NN', 'a share in a company or business'
'', 'owned bp', '', 'VBN NP', 'a share in a company or business'
'liquidity provide', 'rate loans', 'NN VB', 'NN NNS', 'money paid for the use of money'
