% File: interest_2-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'customers conflicts', '', 'NNS NNS', '', 'advantage, advancement or favor'
'definite conflict', 'auction house', 'JJ NN', 'NN NN', 'advantage, advancement or favor'
'see conflict', 'says sotheby', 'VB NN', 'VBZ NP', 'advantage, advancement or favor'
'alleged conflict', 'set dummy', 'JJ NN', 'VBN JJ', 'advantage, advancement or favor'
'operators conflicts', 'stabilize franchisee', 'NNS NNS', 'VB NN', 'advantage, advancement or favor'
'fees conflicts', '', 'NNS NNS', '', 'advantage, advancement or favor'
'problems conflict', 'risk cheating', 'NNS NN', 'NN VBG', 'advantage, advancement or favor'
'prevent conflicts', 'already put', 'VB NNS', 'RB VBN', 'advantage, advancement or favor'
'built-in conflicts', '', 'JJ NNS', '', 'advantage, advancement or favor'
'conflict', 'standard committee', 'NN', 'NN NN', 'advantage, advancement or favor'
'Xs conflict', 'says referring', 'VBZ NN', 'VBZ VBG', 'advantage, advancement or favor'
'% boost', 'expense reflecting', 'NN NN', 'NN VBG', 'money paid for the use of money'
'fall scientific', 'cold fusion', 'NN JJ', 'JJ NN', 'readiness to give attention'
'company', 'television trucking', 'NN', 'NN NN', 'a share in a company or business'
'moment high', 'rates determination', 'NN JJ', 'NNS NN', 'money paid for the use of money'
'X fixed-dollar', 'payments', 'POS JJ', 'NNS', 'money paid for the use of money'
'invest companies', '', 'VB NNS', '', 'a share in a company or business'
'zeros pay', 'maturity meaning', 'NNS VBP', 'NN VBG', 'money paid for the use of money'
'bonds inflation', 'rates kick', 'NNS NN', 'NNS VBP', 'money paid for the use of money'
'without much', 'children nXt', 'IN JJ', 'NNS RB', 'money paid for the use of money'
'back taxes', 'civil fraud', 'JJ NNS', 'JJ NN', 'money paid for the use of money'
'', 'retirement community', '', 'NN NN', 'a share in a company or business'
'flaX sold', 'oil wells', 'NP VBN', 'NN NNS', 'a share in a company or business'
'one based', 'rates company', 'AB VBN', 'NNS NN', 'money paid for the use of money'
'- high', 'rate prevail', '? JJ', 'NN VB', 'money paid for the use of money'
'- usually', 'rates stay', '? RB', 'NNS VBP', 'money paid for the use of money'
'', 'rates plunge', '', 'NNS VBP', 'money paid for the use of money'
'marginally higher', 'yield policy', 'RB JJR', 'NN NN', 'money paid for the use of money'
'fractionally higher', 'rate', 'RB JJR', 'NN', 'money paid for the use of money'
'buying', 'also resurfaced', 'NN', 'RB VBD', 'readiness to give attention'
'using high', 'rates essential', 'VBG JJ', 'NNS JJ', 'money paid for the use of money'
'using high', 'rates fight', 'VBG JJ', 'NNS VB', 'money paid for the use of money'
'despite doubling', 'rates last', 'IN NN', 'NNS JJ', 'money paid for the use of money'
'', 'else money', '', 'RB NN', 'readiness to give attention'
'see lot', 'kind things', 'VBP NN', 'NN NNS', 'readiness to give attention'
'short', 'new york', 'JJ', 'NP NP', 'a share in a company or business'
'month short', '', 'NN JJ', '', 'a share in a company or business'
'reported short', 'dropped 523,920,214', 'VBD JJ', 'VBD AB', 'a share in a company or business'
'amex short', 'climbed 3', 'NP JJ', 'VBD AB', 'a share in a company or business'
'amex short', 'heading upward', 'NP JJ', 'VBG RB', 'a share in a company or business'
'short', 'number shares', 'JJ', 'NN NNS', 'a share in a company or business'
'increase short', 'bullish borrowed', 'NN JJ', 'JJ VBN', 'a share in a company or business'
'fluctuation short', 'certain stocks', 'NN JJ', 'JJ NNS', 'a share in a company or business'
'board short', 'ratio slipped', 'NP JJ', 'NN VBD', 'a share in a company or business'
'short', 'international business', 'JJ', 'NP NP', 'a share in a company or business'
'corpX short', 'slid 4,469,167', 'NP JJ', 'VBD AB', 'a share in a company or business'
'amex short', 'volume leader', 'NP JJ', 'NN NN', 'a share in a company or business'
'issues short', 'position least', 'NNS JJ', 'NN JJS', 'a share in a company or business'
'fasteners include', 'costs $', 'NNS VB', 'NNS NN', 'money paid for the use of money'
'relatively attractive', 'rates pushed', 'RB JJ', 'NNS VBD', 'money paid for the use of money'
'million provisions', 'payments loans', 'AB NNS', 'NNS NNS', 'money paid for the use of money'
'made foregone', 'm$ 200', 'VBN JJ', 'NN AB', 'money paid for the use of money'
'data sign', 'rates may', 'NNS NN', 'NNS MD', 'money paid for the use of money'
'pessimism lower', 'rates contributed', 'NN JJR', 'NNS VBD', 'money paid for the use of money'
'allowed key', 'rate fall', 'VBN JJ', 'NN VB', 'money paid for the use of money'
'watching', 'sport plummet', 'VBG', 'NN VB', 'readiness to give attention'
'seek controlling', 'harley-davidson seek', 'VB NN', 'NP VB', 'a share in a company or business'
'wyss says', 'rates almost', 'NP VBZ', 'NNS RB', 'money paid for the use of money'
'tilts falling', 'rates force', 'VBZ VBG', 'NNS VBP', 'money paid for the use of money'
'pay higher', 'newly issued', 'VBP JJR', 'RB VBN', 'money paid for the use of money'
'', 'rates dropped', '', 'NNS VBN', 'money paid for the use of money'
'corporations save', 'costs', 'NNS VBP', 'NNS', 'money paid for the use of money'
'economy doubts', 'rates fall', 'NN VBZ', 'NNS VB', 'money paid for the use of money'
'bonds resettable', 'rate 10', 'NNS JJ', 'NN AB', 'money paid for the use of money'
'raised hopes', 'rates continue', 'VBD NNS', 'NNS VB', 'money paid for the use of money'
'overhead debt', '', 'NN NN', '', 'money paid for the use of money'
'unsuccessfully sell', 'lower manhattan', 'RB VB', 'JJR NP', 'a share in a company or business'
'tried sell', 'along atlas', 'VBD VB', 'IN NP', 'a share in a company or business'
'estate Xs', 'shortly october', 'NN POS', 'RB NP', 'a share in a company or business'
'navy enforce', 'pressuring uXsX', 'NN VB', 'VBG NP', 'advantage, advancement or favor'
'credits financial', 'films helped', 'NNS JJ', 'NNS VBN', 'a share in a company or business'
'warner Xs', 'accommodate mgmua', 'NP POS', 'VB NP', 'advantage, advancement or favor'
'nXt think', 'let mrX', 'RB VB', 'VB NP', 'advantage, advancement or favor'
'columbia Xs', 'studio jointly', 'NP POS', 'NN RB', 'a share in a company or business'
'moreover', 'asset-backed securities', 'RB', 'JJ NNS', 'money paid for the use of money'
'certificates represent', 'specially created', 'NNS VBP', 'RB VBN', 'a share in a company or business'
'trust represent', 'obligations banks', 'NN VB', 'NNS NNS', 'a share in a company or business'
'property holds', '139 facilities', 'NP VBZ', 'AB NNS', 'a share in a company or business'
'industry one', 'hit hardest', 'NN AB', 'VBD RBS', 'a share in a company or business'
'tokyo-based company', 'include financial', 'JJ NN', 'VBP JJ', 'a share in a company or business'
'quarter excluding', 'increased 6X1', 'NN VBG', 'VBD AB', 'money paid for the use of money'
'clear strategic', 'waiting delta', 'JJ JJ', 'VBG NP', 'advantage, advancement or favor'
'pipeline refinery', 'second refinery', 'NN NN', 'JJ NN', 'a share in a company or business'
'cost-reduction moves', 'income', 'JJ NNS', 'NN', 'money paid for the use of money'
'', 'paid semi-annually', '', 'VBN RB', 'money paid for the use of money'
'article appears', 'user', 'NN VBZ', 'NN', 'quality of causing attention to be given to'
'subscriber Xs', 'area', 'NN POS', 'NN', 'activity, etc. that one gives attention to'
'hot topic', 'abortion issue', 'JJ NN', 'NN NN', 'readiness to give attention'
'rumors soviet', 'also pushed', 'NP JJ', 'RB VBD', 'readiness to give attention'
'newspapers one-third', 'international herald', 'NNS JJ', 'NP NP', 'a share in a company or business'
'leeway reduce', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'pursuit private', '', 'NN JJ', '', 'advantage, advancement or favor'
'company also', 'book publishing', 'NN RB', 'NN NN', 'a share in a company or business'
'pursue business', 'consulting', 'VB NN', 'NN', 'activity, etc. that one gives attention to'
'owning controlling', 'company', 'VBG VBG', 'NN', 'a share in a company or business'
'offset decline', 'income', 'VBP NN', 'NN', 'money paid for the use of money'
'lower', 'income occurred', 'JJR', 'NN VBD', 'money paid for the use of money'
'payments minority', 'rose 252', 'NNS NN', 'VBD AB', 'a share in a company or business'
'payment minority', '', 'NN NN', '', 'a share in a company or business'
'revive consumer', 'little-publicized 1972', 'VB NN', 'JJ AB', 'readiness to give attention'
'offering one-sixth', 'grace energy', 'NN JJ', 'NP NP', 'a share in a company or business'
'price higher', 'expenses', 'NN JJR', 'NNS', 'money paid for the use of money'
'22 %', 'company fletcher', 'AB NN', 'NN NP', 'a share in a company or business'
'doman Xs', 'western forest', 'NP POS', 'NP NP', 'a share in a company or business'
'44 %', 'western forest', 'AB NN', 'NP NP', 'a share in a company or business'
'direction uXsX', 'rates remains', 'NN NP', 'NNS VBZ', 'money paid for the use of money'
'investor', 'switches back', 'NN', 'VBZ RB', 'readiness to give attention'
'also attracted', 'strong earnings', 'RB VBD', 'JJ NNS', 'readiness to give attention'
'despite flurry', 'shares dealers', 'IN NN', 'NNS NNS', 'readiness to give attention'
'high uXkX', 'rates', 'JJ NP', 'NNS', 'money paid for the use of money'
'face high', 'rates gained', 'NN JJ', 'NNS VBD', 'money paid for the use of money'
'nXt best', 'stockholders', 'RB JJS', 'NNS', 'advantage, advancement or favor'
'speculation lower', 'rates', 'NN JJR', 'NNS', 'money paid for the use of money'
'loans higher', 'margins minor', 'NNS JJR', 'NNS JJ', 'money paid for the use of money'
'board short', 'fell 4X2', 'NP JJ', 'VBD AB', 'a share in a company or business'
'fresh buying', 'later trading', 'JJ NN', 'RB NN', 'readiness to give attention'
'said predicting', 'rates stay', 'VBD VBG', 'NNS VB', 'money paid for the use of money'
'hotels management', 'sold auction', 'NNS NN', 'VBN NN', 'a share in a company or business'
'properties management', 'nXt disclosed', 'NNS NN', 'RB VBN', 'a share in a company or business'
'plans sell', '36 hotels', 'VBZ VB', 'AB NNS', 'a share in a company or business'
'excluded sale', 'trust corporation', 'VBN NN', 'NN NN', 'a share in a company or business'
'new expressions', 'two previous', 'JJ NNS', 'AB JJ', 'readiness to give attention'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'volume tighter', 'margins', 'NN JJR', 'NNS', 'money paid for the use of money'
'loss widened', 'expense cited', 'NN VBD', 'NN VBN', 'money paid for the use of money'
'lower net', 'expense', 'JJR JJ', 'NN', 'money paid for the use of money'
'healthvest missed', 'payment bank', 'NP VBD', 'NN NP', 'money paid for the use of money'
'million principal', 'payments owed', 'AB NN', 'NNS VBD', 'money paid for the use of money'
'uXsX cellular', 'markets mccaw', 'NP JJ', 'NNS NP', 'a share in a company or business'
'mccaw holds', 'contiguous markets', 'NP VBZ', 'JJ NNS', 'a share in a company or business'
'unless lin', 'contiguous', 'IN NP', 'JJ', 'a share in a company or business'
'Xs best', '', 'POS JJS', '', 'advantage, advancement or favor'
'company Xs', '', 'NN POS', '', 'a share in a company or business'
'far less', 'proceeding way', 'RB JJR', 'VBG NN', 'money paid for the use of money'
'loans higher', 'margins negligible', 'NNS JJR', 'NNS JJ', 'money paid for the use of money'
'decline brazilian', 'paid $', 'NN JJ', 'VBN NN', 'money paid for the use of money'
'% net', 'margin difference', 'NN JJ', 'NN NN', 'money paid for the use of money'
'canadian pacific', 'transportation telecommunications', 'NP NP', 'NN NNS', 'a share in a company or business'
'pursue business', 'capital holding', 'VB NN', 'NP NP', 'activity, etc. that one gives attention to'
'degree public', 'stake', 'NN JJ', 'NN', 'advantage, advancement or favor'
'direction uXsX', 'rates remained', 'NN NP', 'NNS VBD', 'money paid for the use of money'
'property owners', 'san francisco', 'NN NNS', 'NP NP', 'a share in a company or business'
'still hanging', 'rates dollar', 'RB VBG', 'NNS NN', 'money paid for the use of money'
'', 'rate-sensitive shares', '', 'JJ NNS', 'money paid for the use of money'
'credit allowing', 'rates drop', 'NN VBG', 'NNS VB', 'money paid for the use of money'
'Xs equity', 'south africa', 'POS NN', 'NP NP', 'a share in a company or business'
'sold majority', 'brazilian affiliate', 'VBD NN', 'JJ NN', 'a share in a company or business'
'10 %', 'rocky mountain', 'AB NN', 'NP NP', 'a share in a company or business'
'like high', 'rates slow', 'IN JJ', 'NNS JJ', 'money paid for the use of money'
'unresponsive public', '', 'JJ JJ', '', 'advantage, advancement or favor'
'view public', '', 'NN JJ', '', 'advantage, advancement or favor'
'longing lower', 'rates', 'NN JJR', 'NNS', 'money paid for the use of money'
'represents -', 'rates short-run', 'VBZ ?', 'NNS JJ', 'money paid for the use of money'
'nXt accruing', 'bank said', 'RB VBG', 'NN VBD', 'money paid for the use of money'
'wine soft-drink', 'nXt break', 'NN NN', 'RB NN', 'a share in a company or business'
'bolster brewing', 'effort grab', 'VB NN', 'NN VB', 'a share in a company or business'
'britain', 'include beefeater', 'NP', 'VBP NP', 'a share in a company or business'
'reserve lower', 'rates coming', 'NP VB', 'NNS VBG', 'money paid for the use of money'
'contrary best', 'amr shareholders', 'JJ JJS', 'NP NNS', 'advantage, advancement or favor'
'louis company', 'solid waste', 'NP NN', 'JJ NN', 'a share in a company or business'
'face value', 'accruing instead', 'NN NN', 'VBG RB', 'money paid for the use of money'
'rules accrued', 'deductible company', 'NNS VBN', 'JJ NN', 'money paid for the use of money'
'million buy-out', 'payments existing', 'AB NN', 'NNS VBG', 'money paid for the use of money'
'company rather', 'payments', 'NN RB', 'NNS', 'money paid for the use of money'
'since lower', 'rate nXt', 'IN JJR', 'NN RB', 'money paid for the use of money'
'nXt pay', 'least one', 'RB VB', 'JJS AB', 'money paid for the use of money'
'deny deduction', 'actually paid', 'VB NN', 'RB VBN', 'money paid for the use of money'
'taxed accrued', '', 'VBN VBN', '', 'money paid for the use of money'
'', 'deduction engine', '', 'NN NN', 'money paid for the use of money'
'northrop Xs', 'expense also', 'NP POS', 'NN RB', 'money paid for the use of money'
'', 'expense surged', '', 'NN VBD', 'money paid for the use of money'
'bump entrenched', '', 'VB JJ', '', 'advantage, advancement or favor'
'recent declines', 'rates money', 'JJ NNS', 'NNS NN', 'money paid for the use of money'
'billion computing', 'government Xs', 'AB VBG', 'NN POS', 'money paid for the use of money'
'shares purchase', 'start-up company', 'NNS VB', 'JJ NN', 'a share in a company or business'
'acquire majority', 'later', 'VB NN', 'RB', 'a share in a company or business'
'250 million', 'costs', 'AB AB', 'NNS', 'money paid for the use of money'
'best long-term', 'shareholders said', 'JJS JJ', 'NNS VBD', 'advantage, advancement or favor'
'initial', 'rate set', 'JJ', 'NN VBN', 'money paid for the use of money'
'', 'payments bonds', '', 'NNS NNS', 'money paid for the use of money'
'taxation principal', '', 'NN NN', '', 'money paid for the use of money'
'numbers determine', 'rates heading', 'NNS VB', 'NNS VBG', 'money paid for the use of money'
'', 'rates barely', '', 'NNS RB', 'money paid for the use of money'
'exist different', 'express', 'VBP JJ', 'VB', 'activity, etc. that one gives attention to'
'people heard', 'taken seriously', 'NNS VBN', 'VBN RB', 'advantage, advancement or favor'
'group widespread', 'manufacturing property', 'NP JJ', 'NN NN', 'a share in a company or business'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'managers stir', 'stock', 'NNS VB', 'NN', 'readiness to give attention'
'offset lower', 'income poorer', 'VBN JJR', 'NN JJR', 'money paid for the use of money'
'share primarily', 'expense $', 'NN RB', 'NN NN', 'money paid for the use of money'
'', 'expense 1988', '', 'NN AB', 'money paid for the use of money'
'offers significant', 'rate savings', 'VBZ JJ', 'NN NNS', 'money paid for the use of money'
'50 %', 'working woman', 'AB NN', 'NP NP', 'a share in a company or business'
'50 %', 'working woman', 'AB NN', 'NP NP', 'a share in a company or business'
'taxes minority', 'increased 16', 'NNS NN', 'VBD AB', 'a share in a company or business'
'taxes minority', 'extraordinary items', 'NNS NN', 'JJ NNS', 'a share in a company or business'
'sotheby Xs', 'property catalog', 'NP POS', 'NN NN', 'a share in a company or business'
'level financial', 'collection', 'NN JJ', 'NN', 'a share in a company or business'
'works financial', 'ought hidden', 'NNS JJ', 'MD VBN', 'a share in a company or business'
'recent moves', 'rates around', 'JJ NNS', 'NNS IN', 'money paid for the use of money'
'bonds average', 'rate 13X1', 'NNS JJ', 'NN AB', 'money paid for the use of money'
'million year', 'payments', 'AB NN', 'NNS', 'money paid for the use of money'
'good investment', 'rates going', 'JJ NN', 'NNS VBG', 'money paid for the use of money'
'acting public', 'let washington', 'VBG JJ', 'VBD NP', 'advantage, advancement or favor'
'weigh heavily', 'rate-sensitive stocks', 'VBP RB', 'JJ NNS', 'money paid for the use of money'
'found buying', 'actively sold', 'VBD NN', 'RB VBN', 'readiness to give attention'
'posts pursue', '', 'NNS VB', '', 'activity, etc. that one gives attention to'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'Xs chemicals', 'include among', 'POS NNS', 'VBP IN', 'a share in a company or business'
'generous best', 'mesa shareholders', 'JJ JJS', 'NP NNS', 'advantage, advancement or favor'
'report fees', 'current income', 'VB NNS', 'JJ NN', 'money paid for the use of money'
'', 'words goes', '', 'NNS VBZ', 'readiness to give attention'
'kindled export', 'among many', 'VBN NN', 'IN JJ', 'readiness to give attention'
'balcor', 'real estate', 'NP', 'JJ NN', 'a share in a company or business'
'resigned pursue', 'positions', 'VBD VB', 'NNS', 'activity, etc. that one gives attention to'
'company primarily', 'radio television', 'NN RB', 'NN NN', 'a share in a company or business'
'important uXsX', '', 'JJ NP', '', 'advantage, advancement or favor'
'satisfying', 'priority panamanian', 'VBG', 'NN JJ', 'advantage, advancement or favor'
'credit lower', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'pANDg Xs', 'federal level', 'NP POS', 'JJ NN', 'advantage, advancement or favor'
'80 %', 'firm may', 'AB NN', 'NN NP', 'a share in a company or business'
'projections earnings', 'tax depreciation', 'NNS NNS', 'NN NN', 'money paid for the use of money'
'', 'imposed unpaid', '', 'VBN JJ', 'money paid for the use of money'
'lid short-term', 'rates fed', 'NN JJ', 'NNS NP', 'money paid for the use of money'
'key short-term', 'rate decline', 'JJ JJ', 'NN VB', 'money paid for the use of money'
'bank said', 'payments argentina', 'NN VBD', 'NNS NP', 'money paid for the use of money'
'drop net', 'margin 13', 'NN JJ', 'NN AB', 'money paid for the use of money'
'Xs net', 'income rose', 'POS JJ', 'NN VBD', 'money paid for the use of money'
'million sale', 'foreign leasing', 'AB NN', 'JJ NN', 'a share in a company or business'
'net', 'margin-the difference', 'JJ', 'NN NN', 'money paid for the use of money'
'expenses unrelated', 'rose 5X4', 'NNS JJ', 'VBD AB', 'money paid for the use of money'
'sources unrelated', 'said continues', 'NNS JJ', 'VBD VBZ', 'money paid for the use of money'
'net', 'income third', 'JJ', 'NN JJ', 'money paid for the use of money'
'think best', 'caci stockholders', 'VBP JJS', 'NP NNS', 'advantage, advancement or favor'
'keep lid', 'rates boost', 'VB NN', 'NNS VB', 'money paid for the use of money'
'legitimate ranchers', 'preserving herds', 'JJ NNS', 'VBG NNS', 'advantage, advancement or favor'
'growing uXsX', 'nation Xs', 'VBG NP', 'NN POS', 'readiness to give attention'
'profit taxes', 'costs $', 'NN NNS', 'NNS NN', 'money paid for the use of money'
'conduct public', 'hence criminal', 'NN JJ', 'RB JJ', 'advantage, advancement or favor'
'despite falling', 'rates', 'IN VBG', 'NNS', 'money paid for the use of money'
'branches greater', 'last day', 'NNS JJR', 'JJ NN', 'readiness to give attention'
'closely follow', 'rate trends', 'RB VB', 'NN NNS', 'money paid for the use of money'
'late april', 'rates recent', 'JJ NP', 'NNS JJ', 'money paid for the use of money'
'unlikely short-term', 'rates rise', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'discussed sale', 'showtime cable', 'VBN NN', 'NP NN', 'a share in a company or business'
'federal funds', 'rate dip', 'JJ NNS', 'NN VB', 'money paid for the use of money'
'selling equity', 'japanese joint', 'VBG NN', 'JJ NN', 'a share in a company or business'
'average', 'rate fell', 'JJ', 'NN VBD', 'money paid for the use of money'
'nXt lost', '', 'RB VBN', '', 'readiness to give attention'
'failed make', 'payments nearly', 'VBD VB', 'NNS RB', 'money paid for the use of money'
'notes bear', '5X5 %', 'NNS VB', 'AB NN', 'money paid for the use of money'
'said expressions', 'transaction borrowers', 'VBD NNS', 'NN NNS', 'readiness to give attention'
'boston corpX', 'expressed buy-out', 'NP NP', 'VBN NN', 'readiness to give attention'
'despite renewed', 'public topics', 'IN VBN', 'NN NNS', 'readiness to give attention'
'died advertiser', '', 'VBD NN', '', 'readiness to give attention'
'seem lost', 'whole subject', 'VBP VBN', 'JJ NN', 'readiness to give attention'
'hoping stir', 'old masters', 'VBG VB', 'JJ NNS', 'readiness to give attention'
'clients express', 'paintings nXt', 'NNS VBP', 'NNS RB', 'readiness to give attention'
'protecting', '', 'VBG', '', 'advantage, advancement or favor'
'15 %', 'datatimes corpX', 'AB NN', 'NP NP', 'a share in a company or business'
'6X25 %', 'rates providing', 'AB NN', 'NNS VBG', 'money paid for the use of money'
'corpX equity', 'kia', 'NP NN', 'NP', 'a share in a company or business'
'funds bring', 'rates says', 'NNS VB', 'NNS VBZ', 'money paid for the use of money'
'companies says', 'rates far', 'NNS VBZ', 'NNS RB', 'money paid for the use of money'
'annualized', 'rates certain', 'VBN', 'NNS JJ', 'money paid for the use of money'
'industrial gas', 'expand subsidiary', 'JJ NN', 'VB NN', 'a share in a company or business'
'51 %', 'makro inc', 'AB NN', 'NP NP', 'a share in a company or business'
'revival institutional', 'smaller growth', 'NN JJ', 'JJR JJ', 'readiness to give attention'
'real turnaround', 'small growth', 'JJ NN', 'JJ NN', 'readiness to give attention'
'changes income', 'dividends \*', 'NNS NN', 'NNS SYM', 'money paid for the use of money'
'banks balked', 'rate banking', 'NNS VBD', 'NN NN', 'money paid for the use of money'
'bank fees', 'nXt likely', 'NN NNS', 'RB JJ', 'money paid for the use of money'
'', 'rates lower', '', 'NNS JJR', 'money paid for the use of money'
'nXt lower', 'rates weaken', 'RB VB', 'NNS VB', 'money paid for the use of money'
'pay lower', 'rates', 'VBP JJR', 'NNS', 'money paid for the use of money'
'billion including', '10 years', 'AB VBG', 'AB NNS', 'money paid for the use of money'
'net', 'income sank', 'JJ', 'NN VBD', 'money paid for the use of money'
'', 'rate short-term', '', 'NN JJ', 'money paid for the use of money'
'2 million', 'payments medium', 'AB AB', 'NNS JJ', 'money paid for the use of money'
'*interest net', 'income $', 'NN JJ', 'NN NN', 'money paid for the use of money'
'loans accruing', 'net *interest', 'NNS VBG', 'JJ NN', 'money paid for the use of money'
'10 million', 'income third', 'AB AB', 'NN JJ', 'money paid for the use of money'
'income sources', 'climbed 12', 'NN NNS', 'VBD AB', 'money paid for the use of money'
'Xs net', 'margin southeast', 'POS JJ', 'NN NP', 'money paid for the use of money'
'increase net', 'income reflecting', 'NN JJ', 'NN VBG', 'money paid for the use of money'
'Xs net', 'margin fell', 'POS JJ', 'NN VBD', 'money paid for the use of money'
'revenue derived', 'dividends jumped', 'NN VBN', 'NNS VBD', 'money paid for the use of money'
'company Xs', 'national car', 'NN POS', 'NP NP', 'a share in a company or business'
'including net', 'slightly $', 'VBG JJ', 'RB NN', 'money paid for the use of money'
'economy working', 'rates', 'NN VBG', 'NNS', 'money paid for the use of money'
'national economic', 'much better', 'JJ JJ', 'RB RB', 'advantage, advancement or favor'
'allowing private', 'bankers investors', 'VBG JJ', 'NNS NNS', 'advantage, advancement or favor'
'attracted public', 'underlying bill', 'VBN JJ', 'JJ NN', 'readiness to give attention'
'taxation minority', '14 million', 'NN NN', 'AB AB', 'a share in a company or business'
'short-term', 'rates fell', 'JJ', 'NNS VBD', 'money paid for the use of money'
'', '', '', '', 'readiness to give attention'
'rate higher', 'income', 'NN JJR', 'NN', 'money paid for the use of money'
'15 %', 'birkel closely', 'AB NN', 'NP RB', 'a share in a company or business'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'together trading', 'region', 'RB NN', 'NN', 'a share in a company or business'
'expects drop', 'rates help', 'VBZ NN', 'NNS VB', 'money paid for the use of money'
'holding company', 'oil natural', 'VBG NN', 'NN JJ', 'a share in a company or business'
'56 %', 'new field', 'AB NN', 'JJ NN', 'a share in a company or business'
'', 'owned bp', '', 'VBN NP', 'a share in a company or business'
'provide liquidity', 'rate loans', 'VB NN', 'NN NNS', 'money paid for the use of money'
'expect potential', 'banks throughout', 'VBP JJ', 'NNS IN', 'readiness to give attention'
'allowing key', 'rate drift', 'VBG JJ', 'NN VB', 'money paid for the use of money'
'federal funds', 'rate dip', 'JJ NNS', 'NN VB', 'money paid for the use of money'
'rate influences', 'rates come', 'NN VBZ', 'NNS VB', 'money paid for the use of money'
'bring short-term', 'rates fed', 'VB JJ', 'NNS NP', 'money paid for the use of money'
'supply lower', 'rates easy', 'VB JJR', 'NNS JJ', 'money paid for the use of money'
'fed lower', 'rates obstinate', 'NP VB', 'NNS JJ', 'money paid for the use of money'
'lower short-term', 'rates pumping', 'VB JJ', 'NNS VBG', 'money paid for the use of money'
'fears right', 'rates go', 'VBZ RB', 'NNS VB', 'money paid for the use of money'
'intentions concerning', 'lockheed', 'NNS VBG', 'NP', 'a share in a company or business'
'additional increase', 'rates help', 'JJ NN', 'NNS VB', 'money paid for the use of money'
'concerns earnings', 'rates rather', 'NNS NNS', 'NNS RB', 'money paid for the use of money'
'Xs base', 'rate stands', 'POS NN', 'NN VBZ', 'money paid for the use of money'
'pressure lower', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'simmons Xs', 'company', 'NP POS', 'NN', 'readiness to give attention'
'fall 1987', 'rates nXt', 'NN AB', 'NNS RB', 'money paid for the use of money'
'quickly lower', 'rates move', 'RB VB', 'NNS NN', 'money paid for the use of money'
'move lower', 'rates example', 'NN VB', 'NNS NN', 'money paid for the use of money'
'germany raised', 'rates', 'NP VBD', 'NNS', 'money paid for the use of money'
'nXt lower', 'rates merely', 'RB VB', 'NNS RB', 'money paid for the use of money'
'tax deductibility', 'certain debt-financed', 'NN NN', 'JJ JJ', 'money paid for the use of money'
'government bond', 'rates currently', 'NN NN', 'NNS RB', 'money paid for the use of money'
'flow pay', 'instead based', 'NN VB', 'RB VBN', 'money paid for the use of money'
'moreover fees', 'rates paid', 'RB NNS', 'NNS VBN', 'money paid for the use of money'
'banks expressed', 'ual transaction', 'NNS VBN', 'NP NN', 'readiness to give attention'
'count years', 'income loans', 'VB NNS', 'NN NNS', 'money paid for the use of money'
'', 'rate promised', '', 'NN VBD', 'money paid for the use of money'
'narrowing difference', 'rates uXsX', 'VBG NN', 'NNS NP', 'money paid for the use of money'
'begun reduce', 'rates go', 'VBN VB', 'NNS VB', 'money paid for the use of money'
'lower', 'rates usually', 'JJR', 'NNS RB', 'money paid for the use of money'
'concluded uXsX', 'rates remain', 'VBD NP', 'NNS VB', 'money paid for the use of money'
'official domestic', 'rates mostly', 'JJ JJ', 'NNS RB', 'money paid for the use of money'
'germans raising', 'rates fundamentals', 'NNS VBG', 'NNS NNS', 'money paid for the use of money'
'lower uXsX', 'rates', 'JJR NP', 'NNS', 'money paid for the use of money'
'said statement', 'fair orderly', 'VBD NN', 'JJ JJ', 'advantage, advancement or favor'
'corpX sold', 'parisian chain', 'NP VBN', 'JJ NN', 'a share in a company or business'
'buy hooker', 'company', 'VB NP', 'NN', 'a share in a company or business'
'dollar weak', 'rates rising', 'NN JJ', 'NNS VBG', 'money paid for the use of money'
'100 %', 'well', 'AB NN', 'NN', 'a share in a company or business'
'broader business', 'better cushioned', 'JJR NN', 'RBR VBN', 'a share in a company or business'
'pANDg Xs', 'superconcentrated detergent', 'NP POS', 'JJ NN', 'readiness to give attention'
'uXsX agencies', 'korean agencies', 'NP NNS', 'JJ NNS', 'a share in a company or business'
'persists pessimism', 'rates caused', 'VBZ NN', 'NNS VBN', 'money paid for the use of money'
