% File: interest_1-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'current', 'bonds', 'JJ', 'NNS', 'money paid for the use of money'
'current', 'bonds', 'JJ', 'NNS', 'money paid for the use of money'
'current', 'serial', 'JJ', 'NN', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
't-bills', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'reduce', 'costs', 'VB', 'NNS', 'money paid for the use of money'
'ease', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'higher', 'expense', 'JJR', 'NN', 'money paid for the use of money'
'minority', 'stein', 'NN', 'NP', 'a share in a company or business'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'institutional', 'later', 'JJ', 'RB', 'readiness to give attention'
'attract', 'action', 'VB', 'NN', 'readiness to give attention'
'european', 'british', 'JJ', 'JJ', 'readiness to give attention'
'investor', 'issues', 'NN', 'NNS', 'readiness to give attention'
'acquires', '', 'VBZ', '', 'a share in a company or business'
'australian', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'oil', 'sale', 'NN', 'NN', 'a share in a company or business'
'oil', 'already', 'NN', 'RB', 'a share in a company or business'
'cash', 'bill', 'NN', 'NN', 'money paid for the use of money'
'accrued', 'decX', 'VBN', 'NP', 'money paid for the use of money'
'cut', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'', 'japanese', '', 'JJ', 'readiness to give attention'
'strong', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'drum', 'so-called', 'VB', 'JJ', 'readiness to give attention'
'falling', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'true', 'cost', 'JJ', 'NN', 'money paid for the use of money'
'corporations', 'principal', 'NNS', 'NN', 'money paid for the use of money'
'short', 'increased', 'JJ', 'VBD', 'a share in a company or business'
'', 'connected', '', 'VBN', 'readiness to give attention'
'losing', 'giving', 'VBG', 'VBG', 'readiness to give attention'
'Xs', 'acquiring', 'POS', 'VBG', 'readiness to give attention'
'Xs', 'jaguar', 'POS', 'NP', 'readiness to give attention'
'one-third', 'asbestos', 'JJ', 'NN', 'a share in a company or business'
'majority', 'last', 'NN', 'JJ', 'a share in a company or business'
'prices', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'faster', 'rates', 'RBR', 'NNS', 'money paid for the use of money'
'pursue', '', 'VB', '', 'activity, etc. that one gives attention to'
'time', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'1984', 'rates', 'AB', 'NNS', 'money paid for the use of money'
'principal', 'fully', 'NN', 'RB', 'money paid for the use of money'
'principal', 'accrued', 'NN', 'VBN', 'money paid for the use of money'
'year', 'accrued', 'NN', 'VBN', 'money paid for the use of money'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'complained', 'rates', 'VBD', 'NNS', 'money paid for the use of money'
'return', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'funds', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'purchase', 'eagle', 'VB', 'NP', 'a share in a company or business'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'taxes', 'expense', 'NNS', 'NN', 'money paid for the use of money'
'earnings', 'taxes', 'NNS', 'NNS', 'money paid for the use of money'
'X', 'financing', 'POS', 'VBG', 'readiness to give attention'
'fees', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'current', 'bonds', 'JJ', 'NNS', 'money paid for the use of money'
'current', 'serial', 'JJ', 'NN', 'money paid for the use of money'
'', 'bonds', '', 'NNS', 'money paid for the use of money'
'diverted', 'payments', 'VBN', 'NNS', 'money paid for the use of money'
'sole', 'responsibility', 'JJ', 'NN', 'activity, etc. that one gives attention to'
'insurance', 'acquired', 'NN', 'VBN', 'a share in a company or business'
'insurance', 'bought', 'NN', 'VBN', 'a share in a company or business'
'Xs', 'ikegai-goss', 'POS', 'NP', 'a share in a company or business'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'much', 'refcorp', 'JJ', 'NP', 'readiness to give attention'
'act', 'minority', 'VB', 'NN', 'advantage, advancement or favor'
'stake', 'new', 'NN', 'JJ', 'a share in a company or business'
'accrue', 'rate', 'VB', 'NN', 'money paid for the use of money'
'immediate', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'missing', 'payments', 'VBG', 'NNS', 'money paid for the use of money'
'investor', 'land', 'NN', 'NN', 'readiness to give attention'
'hope', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'', 'income', '', 'NN', 'money paid for the use of money'
'annualized', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'new-found', '140', 'JJ', 'AB', 'readiness to give attention'
'current', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'australian', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'profit', 'tax', 'NN', 'NN', 'money paid for the use of money'
'executives', '', 'NNS', '', 'a share in a company or business'
'shown', 'national', 'VBN', 'JJ', 'readiness to give attention'
'increasing', 'expense', 'VBG', 'NN', 'money paid for the use of money'
'hefty', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'tardy', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'partnership', 'primarily', 'NN', 'RB', 'a share in a company or business'
'family', '', 'NN', '', 'a share in a company or business'
'excited', '', 'VBN', '', 'readiness to give attention'
'lost', 'became', 'VBD', 'VBD', 'readiness to give attention'
'retains', 'acquiring', 'VBZ', 'VBG', 'readiness to give attention'
'nXt', 'swapping', 'RB', 'VBG', 'readiness to give attention'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'8X68', 'accrued', 'AB', 'VBN', 'money paid for the use of money'
'businessman', 'real', 'NN', 'JJ', 'a share in a company or business'
'preserving', 'constituents', 'VBG', 'NNS', 'advantage, advancement or favor'
'net', 'bill', 'JJ', 'NN', 'money paid for the use of money'
'corpX', 'brewing', 'NP', 'NN', 'a share in a company or business'
'earnings', 'tax', 'NNS', 'NN', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'believe', 'rates', 'VBP', 'NNS', 'money paid for the use of money'
'fact', 'buying', 'NN', 'VBG', 'readiness to give attention'
'', 'natural', '', 'JJ', 'readiness to give attention'
'%', 'messrsX', 'NN', 'NPS', 'a share in a company or business'
'concern', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'allow', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'speculation', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'plus', 'income', 'CC', 'NN', 'money paid for the use of money'
'bonds', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'strong', 'abroad', 'JJ', 'RB', 'readiness to give attention'
'cut', 'rate', 'VB', 'NN', 'money paid for the use of money'
'sold', 'liquid-crystal', 'VBD', 'JJ', 'a share in a company or business'
'let', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'%', 'richmond-area', 'NN', 'JJ', 'a share in a company or business'
'whipped', 'among', 'VBN', 'IN', 'readiness to give attention'
'special', 'nih', 'JJ', 'NP', 'advantage, advancement or favor'
'rise', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'increase', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'decide', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'thin', 'ahead', 'JJ', 'RB', 'readiness to give attention'
'', 'may', '', 'MD', 'readiness to give attention'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'bank', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'equity', 'platform', 'NP', 'NN', 'a share in a company or business'
'%', 'country', 'NN', 'NN', 'a share in a company or business'
'minority', 'new', 'NN', 'JJ', 'a share in a company or business'
'ownership', '', 'NN', '', 'a share in a company or business'
'business', 'company', 'NN', 'NN', 'activity, etc. that one gives attention to'
'%', 'manhattan', 'NN', 'NP', 'a share in a company or business'
'well', 'third', 'RB', 'JJ', 'readiness to give attention'
'abandoned', '', 'VBN', '', 'advantage, advancement or favor'
'introduced', 'protecting', 'VBN', 'VBG', 'advantage, advancement or favor'
'investor', 'responsible', 'NN', 'JJ', 'readiness to give attention'
'investor', '', 'NN', '', 'readiness to give attention'
'little', 'treasury', 'JJ', 'NP', 'readiness to give attention'
'buying', 'metal', 'NN', 'NN', 'readiness to give attention'
'buying', 'real-estate', 'NN', 'NN', 'readiness to give attention'
'kluge', 'telecommunications', 'NP', 'NN', 'a share in a company or business'
'representing', '', 'VBG', '', 'advantage, advancement or favor'
'buying', '', 'NN', '', 'readiness to give attention'
'buying', 'sidelined', 'NN', 'VBN', 'readiness to give attention'
'buying', 'helped', 'NN', 'VBD', 'readiness to give attention'
'parties', 'generally', 'NNS', 'RB', 'a share in a company or business'
'national', 'teams', 'JJ', 'NNS', 'quality of causing attention to be given to'
'whose', 'represented', 'WP', 'VBN', 'a share in a company or business'
'considerable', 'prospective', 'JJ', 'JJ', 'readiness to give attention'
'uXsX', 'stake', 'NP', 'NN', 'advantage, advancement or favor'
'accumulate', 'notes', 'VBP', 'NNS', 'money paid for the use of money'
'mention', 'horse', 'VB', 'NN', 'readiness to give attention'
'investor', 'uXsX', 'NN', 'NP', 'readiness to give attention'
'buying', 'pont', 'NN', 'NP', 'readiness to give attention'
'coverage', 'meaningfully', 'NN', 'RB', 'money paid for the use of money'
'general', 'magazine', 'JJ', 'NN', 'activity, etc. that one gives attention to'
'black', 'win', 'JJ', 'VB', 'advantage, advancement or favor'
'economic', '', 'JJ', '', 'activity, etc. that one gives attention to'
'addition', 'ozone', 'NN', 'NN', 'readiness to give attention'
'buying', 'remained', 'NN', 'VBD', 'readiness to give attention'
'minority', 'extraordinary', 'NN', 'JJ', 'a share in a company or business'
'uXsX', 'may', 'NP', 'MD', 'readiness to give attention'
'Xs', 'somalia', 'POS', 'NP', 'advantage, advancement or favor'
'financial', 'property', 'JJ', 'NN', 'a share in a company or business'
'conflicts', '', 'NNS', '', 'advantage, advancement or favor'
'conflict', 'auction', 'NN', 'NN', 'advantage, advancement or favor'
'conflict', 'says', 'NN', 'VBZ', 'advantage, advancement or favor'
'conflict', 'set', 'NN', 'VBN', 'advantage, advancement or favor'
'conflicts', 'stabilize', 'NNS', 'VB', 'advantage, advancement or favor'
'conflicts', '', 'NNS', '', 'advantage, advancement or favor'
'conflict', 'risk', 'NN', 'NN', 'advantage, advancement or favor'
'conflicts', 'already', 'NNS', 'RB', 'advantage, advancement or favor'
'conflicts', '', 'NNS', '', 'advantage, advancement or favor'
'conflict', 'standard', 'NN', 'NN', 'advantage, advancement or favor'
'conflict', 'says', 'NN', 'VBZ', 'advantage, advancement or favor'
'boost', 'expense', 'NN', 'NN', 'money paid for the use of money'
'scientific', 'cold', 'JJ', 'JJ', 'readiness to give attention'
'company', 'television', 'NN', 'NN', 'a share in a company or business'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'fixed-dollar', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'companies', '', 'NNS', '', 'a share in a company or business'
'pay', 'maturity', 'VBP', 'NN', 'money paid for the use of money'
'inflation', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'much', 'children', 'JJ', 'NNS', 'money paid for the use of money'
'taxes', 'civil', 'NNS', 'JJ', 'money paid for the use of money'
'', 'retirement', '', 'NN', 'a share in a company or business'
'sold', 'oil', 'VBN', 'NN', 'a share in a company or business'
'based', 'rates', 'VBN', 'NNS', 'money paid for the use of money'
'high', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'usually', 'rates', 'RB', 'NNS', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'higher', 'yield', 'JJR', 'NN', 'money paid for the use of money'
'higher', 'rate', 'JJR', 'NN', 'money paid for the use of money'
'buying', 'also', 'NN', 'RB', 'readiness to give attention'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'doubling', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'', 'else', '', 'RB', 'readiness to give attention'
'lot', 'kind', 'NN', 'NN', 'readiness to give attention'
'short', 'new', 'JJ', 'NP', 'a share in a company or business'
'short', '', 'JJ', '', 'a share in a company or business'
'short', 'dropped', 'JJ', 'VBD', 'a share in a company or business'
'short', 'climbed', 'JJ', 'VBD', 'a share in a company or business'
'short', 'heading', 'JJ', 'VBG', 'a share in a company or business'
'short', 'number', 'JJ', 'NN', 'a share in a company or business'
'short', 'bullish', 'JJ', 'JJ', 'a share in a company or business'
'short', 'certain', 'JJ', 'JJ', 'a share in a company or business'
'short', 'ratio', 'JJ', 'NN', 'a share in a company or business'
'short', 'international', 'JJ', 'NP', 'a share in a company or business'
'short', 'slid', 'JJ', 'VBD', 'a share in a company or business'
'short', 'volume', 'JJ', 'NN', 'a share in a company or business'
'short', 'position', 'JJ', 'NN', 'a share in a company or business'
'include', 'costs', 'VB', 'NNS', 'money paid for the use of money'
'attractive', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'provisions', 'payments', 'NNS', 'NNS', 'money paid for the use of money'
'foregone', 'm$', 'JJ', 'NN', 'money paid for the use of money'
'sign', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'key', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'watching', 'sport', 'VBG', 'NN', 'readiness to give attention'
'controlling', 'harley-davidson', 'NN', 'NP', 'a share in a company or business'
'says', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'falling', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'higher', 'newly', 'JJR', 'RB', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'save', 'costs', 'VBP', 'NNS', 'money paid for the use of money'
'doubts', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'resettable', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'hopes', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'debt', '', 'NN', '', 'money paid for the use of money'
'sell', 'lower', 'VB', 'JJR', 'a share in a company or business'
'sell', 'along', 'VB', 'IN', 'a share in a company or business'
'Xs', 'shortly', 'POS', 'RB', 'a share in a company or business'
'enforce', 'pressuring', 'VB', 'VBG', 'advantage, advancement or favor'
'financial', 'films', 'JJ', 'NNS', 'a share in a company or business'
'Xs', 'accommodate', 'POS', 'VB', 'advantage, advancement or favor'
'think', 'let', 'VB', 'VB', 'advantage, advancement or favor'
'Xs', 'studio', 'POS', 'NN', 'a share in a company or business'
'moreover', 'asset-backed', 'RB', 'JJ', 'money paid for the use of money'
'represent', 'specially', 'VBP', 'RB', 'a share in a company or business'
'represent', 'obligations', 'VB', 'NNS', 'a share in a company or business'
'holds', '139', 'VBZ', 'AB', 'a share in a company or business'
'one', 'hit', 'AB', 'VBD', 'a share in a company or business'
'company', 'include', 'NN', 'VBP', 'a share in a company or business'
'excluding', 'increased', 'VBG', 'VBD', 'money paid for the use of money'
'strategic', 'waiting', 'JJ', 'VBG', 'advantage, advancement or favor'
'refinery', 'second', 'NN', 'JJ', 'a share in a company or business'
'moves', 'income', 'NNS', 'NN', 'money paid for the use of money'
'', 'paid', '', 'VBN', 'money paid for the use of money'
'appears', 'user', 'VBZ', 'NN', 'quality of causing attention to be given to'
'Xs', 'area', 'POS', 'NN', 'activity, etc. that one gives attention to'
'topic', 'abortion', 'NN', 'NN', 'readiness to give attention'
'soviet', 'also', 'JJ', 'RB', 'readiness to give attention'
'one-third', 'international', 'JJ', 'NP', 'a share in a company or business'
'reduce', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'private', '', 'JJ', '', 'advantage, advancement or favor'
'also', 'book', 'RB', 'NN', 'a share in a company or business'
'business', 'consulting', 'NN', 'NN', 'activity, etc. that one gives attention to'
'controlling', 'company', 'VBG', 'NN', 'a share in a company or business'
'decline', 'income', 'NN', 'NN', 'money paid for the use of money'
'lower', 'income', 'JJR', 'NN', 'money paid for the use of money'
'minority', 'rose', 'NN', 'VBD', 'a share in a company or business'
'minority', '', 'NN', '', 'a share in a company or business'
'consumer', 'little-publicized', 'NN', 'JJ', 'readiness to give attention'
'one-sixth', 'grace', 'JJ', 'NP', 'a share in a company or business'
'higher', 'expenses', 'JJR', 'NNS', 'money paid for the use of money'
'%', 'company', 'NN', 'NN', 'a share in a company or business'
'Xs', 'western', 'POS', 'NP', 'a share in a company or business'
'%', 'western', 'NN', 'NP', 'a share in a company or business'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'investor', 'switches', 'NN', 'VBZ', 'readiness to give attention'
'attracted', 'strong', 'VBD', 'JJ', 'readiness to give attention'
'flurry', 'shares', 'NN', 'NNS', 'readiness to give attention'
'uXkX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'best', 'stockholders', 'JJS', 'NNS', 'advantage, advancement or favor'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'higher', 'margins', 'JJR', 'NNS', 'money paid for the use of money'
'short', 'fell', 'JJ', 'VBD', 'a share in a company or business'
'buying', 'later', 'NN', 'RB', 'readiness to give attention'
'predicting', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'management', 'sold', 'NN', 'VBN', 'a share in a company or business'
'management', 'nXt', 'NN', 'RB', 'a share in a company or business'
'sell', '36', 'VB', 'AB', 'a share in a company or business'
'sale', 'trust', 'NN', 'NN', 'a share in a company or business'
'expressions', 'two', 'NNS', 'AB', 'readiness to give attention'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'tighter', 'margins', 'JJR', 'NNS', 'money paid for the use of money'
'widened', 'expense', 'VBD', 'NN', 'money paid for the use of money'
'net', 'expense', 'JJ', 'NN', 'money paid for the use of money'
'missed', 'payment', 'VBD', 'NN', 'money paid for the use of money'
'principal', 'payments', 'NN', 'NNS', 'money paid for the use of money'
'cellular', 'markets', 'JJ', 'NNS', 'a share in a company or business'
'holds', 'contiguous', 'VBZ', 'JJ', 'a share in a company or business'
'lin', 'contiguous', 'NP', 'JJ', 'a share in a company or business'
'best', '', 'JJS', '', 'advantage, advancement or favor'
'Xs', '', 'POS', '', 'a share in a company or business'
'less', 'proceeding', 'JJR', 'VBG', 'money paid for the use of money'
'higher', 'margins', 'JJR', 'NNS', 'money paid for the use of money'
'brazilian', 'paid', 'JJ', 'VBN', 'money paid for the use of money'
'net', 'margin', 'JJ', 'NN', 'money paid for the use of money'
'pacific', 'transportation', 'NP', 'NN', 'a share in a company or business'
'business', 'capital', 'NN', 'NP', 'activity, etc. that one gives attention to'
'public', 'stake', 'JJ', 'NN', 'advantage, advancement or favor'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'owners', 'san', 'NNS', 'NP', 'a share in a company or business'
'hanging', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'', 'rate-sensitive', '', 'JJ', 'money paid for the use of money'
'allowing', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'equity', 'south', 'NN', 'NP', 'a share in a company or business'
'majority', 'brazilian', 'NN', 'JJ', 'a share in a company or business'
'%', 'rocky', 'NN', 'NP', 'a share in a company or business'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'public', '', 'JJ', '', 'advantage, advancement or favor'
'public', '', 'JJ', '', 'advantage, advancement or favor'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'-', 'rates', '?', 'NNS', 'money paid for the use of money'
'accruing', 'bank', 'VBG', 'NN', 'money paid for the use of money'
'soft-drink', 'nXt', 'NN', 'RB', 'a share in a company or business'
'brewing', 'effort', 'NN', 'NN', 'a share in a company or business'
'britain', 'include', 'NP', 'VBP', 'a share in a company or business'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'best', 'amr', 'JJS', 'NP', 'advantage, advancement or favor'
'company', 'solid', 'NN', 'JJ', 'a share in a company or business'
'value', 'accruing', 'NN', 'VBG', 'money paid for the use of money'
'accrued', 'deductible', 'VBN', 'JJ', 'money paid for the use of money'
'buy-out', 'payments', 'NN', 'NNS', 'money paid for the use of money'
'rather', 'payments', 'RB', 'NNS', 'money paid for the use of money'
'lower', 'rate', 'JJR', 'NN', 'money paid for the use of money'
'pay', 'least', 'VB', 'JJS', 'money paid for the use of money'
'deduction', 'actually', 'NN', 'RB', 'money paid for the use of money'
'accrued', '', 'VBN', '', 'money paid for the use of money'
'', 'deduction', '', 'NN', 'money paid for the use of money'
'Xs', 'expense', 'POS', 'NN', 'money paid for the use of money'
'', 'expense', '', 'NN', 'money paid for the use of money'
'entrenched', '', 'JJ', '', 'advantage, advancement or favor'
'declines', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'computing', 'government', 'VBG', 'NN', 'money paid for the use of money'
'purchase', 'start-up', 'VB', 'JJ', 'a share in a company or business'
'majority', 'later', 'NN', 'RB', 'a share in a company or business'
'million', 'costs', 'AB', 'NNS', 'money paid for the use of money'
'long-term', 'shareholders', 'JJ', 'NNS', 'advantage, advancement or favor'
'initial', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'', 'payments', '', 'NNS', 'money paid for the use of money'
'principal', '', 'NN', '', 'money paid for the use of money'
'determine', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'different', 'express', 'JJ', 'VB', 'activity, etc. that one gives attention to'
'heard', 'taken', 'VBN', 'VBN', 'advantage, advancement or favor'
'widespread', 'manufacturing', 'JJ', 'NN', 'a share in a company or business'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'stir', 'stock', 'VB', 'NN', 'readiness to give attention'
'lower', 'income', 'JJR', 'NN', 'money paid for the use of money'
'primarily', 'expense', 'RB', 'NN', 'money paid for the use of money'
'', 'expense', '', 'NN', 'money paid for the use of money'
'significant', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'%', 'working', 'NN', 'NP', 'a share in a company or business'
'%', 'working', 'NN', 'NP', 'a share in a company or business'
'minority', 'increased', 'NN', 'VBD', 'a share in a company or business'
'minority', 'extraordinary', 'NN', 'JJ', 'a share in a company or business'
'Xs', 'property', 'POS', 'NN', 'a share in a company or business'
'financial', 'collection', 'JJ', 'NN', 'a share in a company or business'
'financial', 'ought', 'JJ', 'MD', 'a share in a company or business'
'moves', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'average', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'year', 'payments', 'NN', 'NNS', 'money paid for the use of money'
'investment', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'public', 'let', 'JJ', 'VBD', 'advantage, advancement or favor'
'heavily', 'rate-sensitive', 'RB', 'JJ', 'money paid for the use of money'
'buying', 'actively', 'NN', 'RB', 'readiness to give attention'
'pursue', '', 'VB', '', 'activity, etc. that one gives attention to'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'chemicals', 'include', 'NNS', 'VBP', 'a share in a company or business'
'best', 'mesa', 'JJS', 'NP', 'advantage, advancement or favor'
'fees', 'current', 'NNS', 'JJ', 'money paid for the use of money'
'', 'words', '', 'NNS', 'readiness to give attention'
'export', 'among', 'NN', 'IN', 'readiness to give attention'
'balcor', 'real', 'NP', 'JJ', 'a share in a company or business'
'pursue', 'positions', 'VB', 'NNS', 'activity, etc. that one gives attention to'
'primarily', 'radio', 'RB', 'NN', 'a share in a company or business'
'uXsX', '', 'NP', '', 'advantage, advancement or favor'
'satisfying', 'priority', 'VBG', 'NN', 'advantage, advancement or favor'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'Xs', 'federal', 'POS', 'JJ', 'advantage, advancement or favor'
'%', 'firm', 'NN', 'NN', 'a share in a company or business'
'earnings', 'tax', 'NNS', 'NN', 'money paid for the use of money'
'', 'imposed', '', 'VBN', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'short-term', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'said', 'payments', 'VBD', 'NNS', 'money paid for the use of money'
'net', 'margin', 'JJ', 'NN', 'money paid for the use of money'
'net', 'income', 'JJ', 'NN', 'money paid for the use of money'
'sale', 'foreign', 'NN', 'JJ', 'a share in a company or business'
'net', 'margin-the', 'JJ', 'NN', 'money paid for the use of money'
'unrelated', 'rose', 'JJ', 'VBD', 'money paid for the use of money'
'unrelated', 'said', 'JJ', 'VBD', 'money paid for the use of money'
'net', 'income', 'JJ', 'NN', 'money paid for the use of money'
'best', 'caci', 'JJS', 'NP', 'advantage, advancement or favor'
'lid', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'ranchers', 'preserving', 'NNS', 'VBG', 'advantage, advancement or favor'
'uXsX', 'nation', 'NP', 'NN', 'readiness to give attention'
'taxes', 'costs', 'NNS', 'NNS', 'money paid for the use of money'
'public', 'hence', 'JJ', 'RB', 'advantage, advancement or favor'
'falling', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'greater', 'last', 'JJR', 'JJ', 'readiness to give attention'
'follow', 'rate', 'VB', 'NN', 'money paid for the use of money'
'april', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'sale', 'showtime', 'NN', 'NP', 'a share in a company or business'
'funds', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'equity', 'japanese', 'NN', 'JJ', 'a share in a company or business'
'average', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'lost', '', 'VBN', '', 'readiness to give attention'
'make', 'payments', 'VB', 'NNS', 'money paid for the use of money'
'bear', '5X5', 'VB', 'AB', 'money paid for the use of money'
'expressions', 'transaction', 'NNS', 'NN', 'readiness to give attention'
'corpX', 'expressed', 'NP', 'VBN', 'readiness to give attention'
'renewed', 'public', 'VBN', 'NN', 'readiness to give attention'
'advertiser', '', 'NN', '', 'readiness to give attention'
'lost', 'whole', 'VBN', 'JJ', 'readiness to give attention'
'stir', 'old', 'VB', 'JJ', 'readiness to give attention'
'express', 'paintings', 'VBP', 'NNS', 'readiness to give attention'
'protecting', '', 'VBG', '', 'advantage, advancement or favor'
'%', 'datatimes', 'NN', 'NP', 'a share in a company or business'
'%', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'equity', 'kia', 'NN', 'NP', 'a share in a company or business'
'bring', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'says', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'annualized', 'rates', 'VBN', 'NNS', 'money paid for the use of money'
'gas', 'expand', 'NN', 'VB', 'a share in a company or business'
'%', 'makro', 'NN', 'NP', 'a share in a company or business'
'institutional', 'smaller', 'JJ', 'JJR', 'readiness to give attention'
'turnaround', 'small', 'NN', 'JJ', 'readiness to give attention'
'income', 'dividends', 'NN', 'NNS', 'money paid for the use of money'
'balked', 'rate', 'VBD', 'NN', 'money paid for the use of money'
'fees', 'nXt', 'NNS', 'RB', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'including', '10', 'VBG', 'AB', 'money paid for the use of money'
'net', 'income', 'JJ', 'NN', 'money paid for the use of money'
'', 'rate', '', 'NN', 'money paid for the use of money'
'million', 'payments', 'AB', 'NNS', 'money paid for the use of money'
