% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'fed nXt enthusiastic treasury efforts bring value dollar intervention foreign-exchange markets treasury frustrated fed Xs reluctance cut', 'rates pull dollar Xs value', 'NP RB JJ NP NNS VB NN NN NN JJ NNS NP VBN NP POS NN VB', 'NNS VB NN POS NN', 'money paid for the use of money'
'many analysts expecting fed lower', 'rates least end year', 'JJ NNS VBG NP VB', 'NNS JJS NN NN', 'money paid for the use of money'
'amount covers taxes', 'penalties owed 1966 state began collecting corporate taxes 1985', 'NN VBZ NNS', 'NNS VBN AB NN VBD VBG JJ NNS AB', 'money paid for the use of money'
'short', 'international mobile machines corpX fell 3,102,935 shares month ended octX 13 3,420,936 september', 'JJ', 'NP NP NPS NP VBD AB NNS NN VBD NP AB AB NP', 'a share in a company or business'
'see short', 'otc stocks posts 6 % jump - rise latest period sharpest since april octX 13 drop nXt factor - wsj octX 25 1989', 'VB JJ', 'NP NNS VBZ AB NN NN ? NN JJS NN JJS IN NP NP AB NN RB NN ? NP NP AB AB', 'a share in a company or business'
'decline stock prices continued stable', 'rates stocks representing better value time renaissance president frank wX terrizzi said yesterday', 'NN NN NNS VBD JJ', 'NNS NNS VBG JJR NN NN NP NP NP NP NP VBD NN', 'money paid for the use of money'
'top traveler converts dollars foreign currency trip starts lose', 'day conversion', 'NN NN VBZ NNS JJ NN NN VBP VB', 'NN NN', 'money paid for the use of money'
'meantime money continue earn', 'card holder - often 1 % float period alone', 'NN NN VB VB', 'NN NN ? RB AB NN NN NN RB', 'money paid for the use of money'
'lower yields reflecting lower short-term', 'rates said brenda malizia negus editor money fund report', 'JJR NNS VBG JJR JJ', 'NNS VBD NP NP NP NN NP NP NP', 'money paid for the use of money'
'money funds invest things short-term treasury securities commercial paper certificates deposit posting lower', 'rates since last spring', 'NP NNS VBP NNS JJ NP NNS JJ NN NNS NN VBG JJR', 'NNS IN JJ NN', 'money paid for the use of money'
'average maturity short 29 days start year short-term', 'rates moving steadily upward', 'JJ NN JJ AB NNS NN NN JJ', 'NNS VBG RB RB', 'money paid for the use of money'
'Xs worse price drop sustained bonds portfolio whose total return bond-price changes plus', 'amounted negative 6X08 %', 'VBZ JJR NN NN VBN NNS NN WP JJ NN JJ NNS CC', 'VBN JJ AB NN', 'money paid for the use of money'
'carl ericson runs colonial intermediate high income fund says fund Xs 25 % leverage jacked', 'income', 'NP NP VBZ NP NP NP NP NP VBZ NN POS AB NN NN VBN', 'NN', 'money paid for the use of money'
'read exerpts wayne angell Xs exchange gosbank representative put soviet economy golden rails editorial page octX 5 great', 'since gold standard one areas research', 'VBP NNS NP NP POS NN NP NN VB NP NP NP NPS NN NN NP AB JJ', 'IN JJ NN AB NNS NN', 'readiness to give attention'
'wednesday october 25 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'democrats asked week discussions president bush suggested ways tinkering packwood-roth proposal suggesting', 'looking modified version back one official said', 'NPS VBD NN NNS NP NP VBN NNS VBG NP NN VBG', 'VBG VBN NN VB AB NN VBD', 'readiness to give attention'
'net income includes extraordinary $ 100,000 reversal bad debt', 'income', 'JJ NN VBZ JJ NN AB NN JJ NN', 'NN', 'money paid for the use of money'
'also defer', 'principal junk bonds fallen due grace period paying bill expires novX 16', 'RB VB', 'NN NN NNS VBN JJ NN NN VBG NN VBZ NP AB', 'money paid for the use of money'
'time investors estimate restructuring cut company Xs annual cash', 'bill $ 90 million $ 85 million', 'NN NNS VBP VBG VB NN POS JJ NN', 'NN NN AB AB NN AB AB', 'money paid for the use of money'
'yet pay', 'bill analysts say sci tv produce $ 80 million $ 90 million cash flow year', 'RB VB', 'NN NNS VBP NP NP VB NN AB AB NN AB AB NN NN NN', 'money paid for the use of money'
'kemper also blasted big board ignoring', 'individual institutional holders', 'NP RB VBD NP NP VBG', 'JJ JJ NNS', 'advantage, advancement or favor'
'notes zero-coupon securities pay', 'periodically', 'NNS NN NNS VB', 'RB', 'money paid for the use of money'
'michigan - $ 80 million first general obligation bonds series 1989 environmental protection program recreation program tentatively priced shearson lehman hutton group yield 6 % current', 'bonds due 1990 7X25 % convertible capital appreciation bonds', 'NP ? NN AB AB JJ JJ NN NNS NN AB JJ NN NN NN NN RB VBN NP NP NP NN VB AB NN JJ', 'NNS JJ AB AB NN JJ NN NN NNS', 'money paid for the use of money'
'environmental protection program current', 'bonds due 1995-1999 2005 2009', 'JJ NN NN JJ', 'NNS JJ AB AB AB', 'money paid for the use of money'
'recreation program current', 'bonds due 1990-1995 priced yield 6 % 1990 6X45 % 1995', 'NN NN JJ', 'NNS JJ AB VBN VB AB NN AB AB NN AB', 'money paid for the use of money'
'national intergroup negotiating sale 50 %', 'national steel concentrate fully drug distribution operations', 'NP NP VBG NN AB NN', 'NP NP VB RB NN NN NNS', 'a share in a company or business'
'allied-signal unit allied-signal incX manufacturer', 'aerospace automotive products engineered materials', 'NP NN NP NP NN', 'NN JJ NNS JJ NNS', 'a share in a company or business'
'outside essentially amounted bookkeeping exercise dealers said london dealings largely dulled absence active', 'beyond market-makers', 'IN RB VBD NN NN NNS VBD NP NNS RB VBN NN JJ', 'IN NNS', 'readiness to give attention'
'remainder held public family', 'spokeswoman french group said', 'NN VBN NN NN', 'NN JJ NN VBD', 'a share in a company or business'
'already many big board Xs floor traders warning esp baskets risky best', 'investing public', 'RB JJ NP NP POS NN NNS VBG NP NNS JJ JJS', 'VBG NN', 'advantage, advancement or favor'
'ratings concern said acquisition result pretax losses operations increases', 'expense charges depreciation amortization expects losses reduced productivity average growth company Xs hospitals', 'NNS NN VBD NN VB JJ NNS NNS NNS', 'NN NNS NN NN VBZ NNS VBN NN JJ NN NN POS NNS', 'money paid for the use of money'
'french unit ferruzzi agricola finanziaria also disclosed 40 % rise consolidated net profit first half 1989 excluding nonrecurring items payments minority', '', 'JJ NN NP NP NP RB VBD AB NN NN JJ JJ NN JJ NN AB VBG JJ NNS NNS NN', '', 'a share in a company or business'
'include sale', 'joint venture beghin corbehem feldemuehle', 'VB NN', 'JJ NN NP NP NP', 'a share in a company or business'
'separate transaction beghin-say sell remaining 25 %', 'aXtXbX holding company international trading assets unspecified unit ferruzzi 258 million francs', 'JJ NN NP VB VBG AB NN', 'NP VBG NN JJ NN NNS JJ NN NP AB AB NNS', 'a share in a company or business'
'many japanese companies expect record profits fiscal year japanese', 'rates though bit recently still', 'JJ JJ NNS VBP NN NNS JJ NN JJ', 'NNS IN NN RB RB', 'money paid for the use of money'
'spokeswoman said toronto-based campeau received expressions', 'bloomingdale Xs declined comment whether actual bids made', 'NN VBD JJ NP VBN NNS', 'NP POS VBD VB IN JJ NNS VBN', 'readiness to give attention'
'prospectus says acquisition completed earlier pretax earnings insufficient cover fixed charges including', 'debt securities approximately $ 62X7 million first six months 1989', 'NN VBZ NN VBN RBR JJ NNS JJ VB JJ NNS VBG', 'NN NNS RB NN AB AB JJ AB NNS AB', 'money paid for the use of money'
'calculations meeting cash charges ignore $ 52 million year', 'cash-deferred zero-coupon debentures - ultimately paid', 'NNS VBG NN NNS VBP NN AB AB NN', 'JJ JJ NNS ? RB VBN', 'money paid for the use of money'
'cbs may cushion losses $ 200 million year', 'earned proceeds selling cbs records businesses', 'NP MD VB NNS NN AB AB NN', 'VBN NNS VBG NP NPS NNS', 'money paid for the use of money'
'first meeting yesterday 10 senate democrats expressed', 'cutting tax', 'JJ NN NN AB NP NPS VBN', 'VBG NN', 'readiness to give attention'
'average', 'rate rose 8X337 % citicorp Xs $ 50 million weekly auction 91-day commercial paper corporate ious 8X292 % last week Xs sale', 'JJ', 'NN VBD AB NN NP POS NN AB AB JJ NN JJ JJ NN JJ NNS AB NN JJ NN POS NN', 'money paid for the use of money'
'addition insurance finance itt', 'electronic parts defense technology automotive parts fluid technology pulp timber communications information services', 'NN NN NN NP', 'JJ NNS NN NN JJ NNS NN NN NN NN NNS NN NNS', 'a share in a company or business'
'amoco energy concern operator project 43X75 % working', 'partners include hydro congo congolese state oil company 50 % *interest kuwait foreign petroleum exploration coX 6X25 % stake', 'NP NN NN NN NN AB NN VBG', 'NNS VBP NP NP JJ NN NN NN AB NN NN NP NP NP NP NP AB NN NN', 'a share in a company or business'
'amoco energy concern operator project 43X75 % working *interest partners include hydro congo congolese state oil company 50 %', 'kuwait foreign petroleum exploration coX 6X25 % stake', 'NP NN NN NN NN AB NN VBG NN NNS VBP NP NP JJ NN NN NN AB NN', 'NP NP NP NP NP AB NN NN', 'a share in a company or business'
'french water treatment group said consolidated net profit payments minority', 'rose 749 million francs us$ 119X2 million 575 million francs first half 1988', 'JJ NN NN NN VBD JJ JJ NN NNS NN', 'VBD AB AB NNS NN AB AB AB AB NNS JJ NN AB', 'a share in a company or business'
'boston coX upper-crust financial services concern rocked management scandal late last year sharp drop profitability - mainly high-risk', 'rates backfired', 'NP NP JJ JJ NNS NN VBN NN NN RB JJ NN JJ NN NN ? RB JJ', 'NNS VBD', 'money paid for the use of money'
'moreover number people spontaneously cited lower prices reason', 'sears declined 16 % september 33 % march', 'RB NN NNS RB VBD JJR NNS NN', 'NP VBD AB NN NP AB NN NP', 'readiness to give attention'
'addition mrsX lidgerwood said norfolk likely draw cash initially finance purchases thus forfeit', 'income', 'NN NP NP VBD NP JJ VB NN RB VB NNS RB VB', 'NN', 'money paid for the use of money'
'tuesday october 24 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'one party stand consumer', 'small government free trade globalism put japan clearly among developed open countries', 'AB NN VB NN', 'JJ NN JJ NN NN VB NP RB IN JJ JJ NNS', 'advantage, advancement or favor'
'seeks late-payment', 'lost check request *interest abatement publisher prentice hall notes', 'VBZ NN', 'JJ NN VB NN NN NN NP NP VBZ', 'money paid for the use of money'
'seeks late-payment *interest lost check request', 'abatement publisher prentice hall notes', 'VBZ NN NN JJ NN VB', 'NN NN NP NP VBZ', 'money paid for the use of money'
'guess blandings want deduct home-mortgage', '$ 200,000 loan', 'VB NNS VBP VB JJ', 'NN AB NN', 'money paid for the use of money'
'thus says blandings X $ 200,000 loan home-acquisition debt', 'fully deductible', 'RB VBZ NP POS NN AB NN JJ NN', 'RB JJ', 'money paid for the use of money'
'seattle Xs license fees adult peep shows vary coin-operated amusements without serving substantial government', 'unconstitutional ninth-circuit appeals court holds acorn investments inc', 'NP POS NN NNS JJ NN NNS VBP JJ NNS IN VBG JJ NN', 'JJ JJ NNS NN VBZ NP NP NP', 'advantage, advancement or favor'
'blue-chip advertisers plenty complaints magazines advertise ranging inadequate consumer research clutter seemingly unchecked proliferation special', 'magazines', 'JJ NNS NN NNS NNS VBP VBG JJ NN NN NN RB JJ NN JJ', 'NNS', 'activity, etc. that one gives attention to'
'leonard lauder president chief executive officer estee lauder said consumer magazines suffering called niche-itis, increasing number magazines target idosyncratic', 'readers', 'NP NP NN JJ JJ NN NP NP VBD NN NNS VBG VBD ? JJ NN NNS VBP JJ', 'NNS', 'activity, etc. that one gives attention to'
'level', 'rtc Xs properties greater expected come larger companies initially anticipated says stan ross leventhal Xs co-managing partner', 'NN', 'NP POS NNS JJR VBN VBN JJR NNS RB VBN VBZ NP NP NP POS JJ NN', 'readiness to give attention'
'although finnish group minority', 'already operating moscow hotel sheraton-pan venture first joint-venture hotels soviet union much 50 % foreign ownership', 'IN JJ NN NN', 'RB VBG NP NN NP NN JJ JJ NNS NP NP JJ AB NN JJ NN', 'a share in a company or business'
'high default rates', 'rate government coverage *interest costs student school make program costs extremely high', 'JJ NN NNS', 'NN NN NN NN NNS NN NN VBP NN NNS RB JJ', 'money paid for the use of money'
'high default rates *interest rate government coverage', 'costs student school make program costs extremely high', 'JJ NN NNS NN NN NN NN', 'NNS NN NN VBP NN NNS RB JJ', 'money paid for the use of money'
'student school', 'costs either paid student added loan balance', 'NN NN', 'NNS RB VBN NN VBN NN NN', 'money paid for the use of money'
'far promoting commonality', 'among black white hispanic minority voters drawing district lines according race suggests race voter Xs candidate Xs important trait', 'RB VBG NN', 'IN JJ JJ JJ NN NNS VBG NN NNS VBG NN VBZ NN NN POS NN VBZ JJ NN', 'activity, etc. that one gives attention to'
'madison explained representative Xs duty speak narrow', 'one group instead common good', 'NP VBD NN POS NN VB JJ', 'AB NN RB JJ NN', 'advantage, advancement or favor'
'large heterogeneous election districts encourage good government said madison representative compelled serve', 'constituents servile none', 'JJ JJ NN NNS VB JJ NN VBD NP NN VBN VB', 'NNS JJ NN', 'advantage, advancement or favor'
'long believe americans every race ethnic background common', 'live together cooperatively political map reflect belief', 'RB VBP NPS DT NN JJ NN JJ', 'VB RB RB JJ NN VB NN', 'activity, etc. that one gives attention to'
'short', 'nasdaq over-the-counter stocks rose 6 % mid-october biggest jump since 6X3 % last april', 'JJ', 'NP JJ NNS VBD AB NN NP JJS NN IN AB NN JJ NP', 'a share in a company or business'
'recent otc short', 'statistics compiled octX 13 day nasdaq composite index slid 3 % new york stock exchange tumbled 7 %', 'JJ NP JJ', 'NNS VBN NP AB NN NP JJ NN VBD AB NN NP NP NP NP VBD AB NN', 'a share in a company or business'
'however short', 'figures reported brokerage securities clearing firms national association securities dealers include trades completed settled octX 13 rather trades occurred day according gene finn chief economist nasd', 'RB JJ', 'NNS VBN NN NNS NN NNS NP NP NP NP VBP NNS VBN VBN NP AB RB NNS VBD NN VBG NP NP JJ NN NP', 'a share in a company or business'
'total short', 'nasdaq stocks mid-october 237X1 million shares 223X7 million september well record level 279 million shares established july 1987', 'JJ JJ', 'NP NNS NP AB AB NNS AB AB NP RB JJ NN AB AB NNS VBN NP AB', 'a share in a company or business'
'sharp rise otc short', 'compares 4X2 % decline short *interest new york stock exchange 3 % rise american stock exchange september-october period', 'JJ NN NP JJ', 'VBZ AB NN NN JJ NN NP NP NP NP AB NN NN NP NP NP NP NN', 'a share in a company or business'
'short', 'represents number shares borrowed sold yet replaced bad-expectations barometer many stocks', 'JJ', 'VBZ NN NNS VBN VBN RB VBN JJ NN JJ NNS', 'a share in a company or business'
'among 2,412 largest otc issues short', 'rose 196X8 million shares 185X7 million 2,379 stocks september', 'IN AB JJS NP NNS JJ', 'VBD AB AB NNS AB AB AB NNS NP', 'a share in a company or business'
'big stocks large short', 'octX 13 included first executive intel campeau lin broadcasting', 'JJ NNS JJ JJ', 'NP AB VBD NP NP NP NP NP NP', 'a share in a company or business'
'short', 'first executive insurance issue rose 55 % 3X8 million', 'JJ', 'NP NP NN NN VBD AB NN AB AB', 'a share in a company or business'
'intel Xs short', 'jumped 42 % campeau Xs increased 62 %', 'NP POS JJ', 'VBD AB NN NP POS VBD AB NN', 'a share in a company or business'
'meritor savings dubious honor otc stock biggest short', 'position nasdaq', 'NP NP JJ NN NP NN JJS JJ', 'NN NP', 'a share in a company or business'
'addition changes short', 'stocks may caused arbitrage', 'NN NNS JJ', 'NNS MD VBN NN', 'a share in a company or business'
'two big stocks involved takeover activity saw short', 'surge', 'AB JJ NNS VBN NN NN VBD JJ', 'NN', 'a share in a company or business'
'short', 'american depositary receipts jaguar target ford motor general motors doubled', 'JJ', 'JJ JJ NNS NP NN NP NP NP NP VBD', 'a share in a company or business'
'nasdaq stocks showed drop short', 'included adobe systems class shares tele-communications takeover targets lyphomed jerrico', 'NP NNS VBD NN JJ', 'VBD NP NP NP NNS NP NN NNS NP NP', 'a share in a company or business'
'nasd operates nasdaq computer system 5,200 otc issues trade compiles short', 'data two categories approximately two-thirds generally biggest nasdaq stocks trade national market system one-third generally smaller nasdaq stocks nXt part system', 'NP VBZ NP NN NN AB NP NNS NN VBZ JJ', 'NNS AB NNS RB NNS RB JJS NP NNS VBP NP NP NP NN RB JJR NP NNS RB NN NN', 'a share in a company or business'
'short', '1,327 non-nms securities totaled 40X3 million shares compared almost 38 million shares 1,310 issues september', 'JJ', 'AB JJ NNS VBD AB AB NNS VBN RB AB AB NNS AB NNS NP', 'a share in a company or business'
'october short', 'represents 1X04 days average daily trading volume smaller stocks system reporting period compared 0X94 day month ago', 'NP JJ', 'VBZ AB NNS JJ JJ NN NN JJR NNS NN NN NN VBN AB NN NN RB', 'a share in a company or business'
'adjacent tables show issues short', 'position least 50,000 shares existed octX 13 short position change least 25,000 shares since septX 15 see accompanying tables - wsj octX 25 1989', 'JJ NNS VBP NNS JJ', 'NN JJS AB NNS VBD NP AB JJ NN NN JJS AB NNS IN NP AB VB JJ NNS ? NP NP AB AB', 'a share in a company or business'
'secured creditors recover principal', 'unsecured creditors receive principal *interest accrued ps new hampshire filed bankruptcy code protection january biggest change northeast Xs offer improvements made equity holders given short shrift previously', 'JJ NNS VB NN', 'JJ NNS VB NN NN VBN NP NP NP VBD NP NP NN NP JJS NN NP POS NN NNS VBN NN NNS VBN JJ NN RB', 'money paid for the use of money'
'slowing economy implication lower inflation', 'rates tend bolster bond prices', 'VBG NN NN JJR NN', 'NNS VBP VB NN NNS', 'money paid for the use of money'
'', 'picks though mrX gould gets around discussing meaning burgess oddities theory evolution', '', 'VBZ RB NP NP VBZ IN VBG NN NP NNS NN NN', 'readiness to give attention'
'consist current', 'bonds due 1990-2002 2010 2015 capital appreciation bonds due 2003 2004 tentatively priced yield 5X75 % 1990 7X14 % 2010', 'VBP JJ', 'NNS JJ AB AB AB NN NN NNS JJ AB AB RB VBN VB AB NN AB AB NN AB', 'money paid for the use of money'
'west virginia parkways economic development tourism authority - $ 143 million parkway revenue bonds series 1989 current', 'bonds due 1990-2002 2019 capital appreciation bonds due 2003-2008 tentatively priced painewebber incX group yield 6 % 1990 7X31 % 2019', 'NP NP NP NP NP NP NP ? NN AB AB NN NN NNS NN AB JJ', 'NNS JJ AB AB NN NN NNS JJ AB RB VBN NP NP NN VB AB NN AB AB NN AB', 'money paid for the use of money'
'current', 'serial bonds tentatively priced yield 7X05 % 2002', 'JJ', 'NN NNS RB VBN VB AB NN AB', 'money paid for the use of money'
'', 'rates generally began declining last spring moving steadily upward year', '', 'NNS RB VBD VBG JJ NN VBG RB RB NN', 'money paid for the use of money'
'so-called jumbo cds typically denominations $ 90,000 also usually follow t-bills', 'rate trends general aimed small investors', 'JJ JJ NNS RB NNS NN AB RB RB VBP NNS', 'NN NNS JJ VBN JJ NNS', 'money paid for the use of money'
'mrX miller repeated next six months plans sell another $ 200 million $ 300 million assets repay debt reduce', 'costs wang minincomputer maker lowell mass', 'NP NP VBD JJ AB NNS VBZ VB DT NN AB AB NN AB AB NNS VB NN VB', 'NNS NP JJR NN NP NP', 'money paid for the use of money'
'result prime minister margaret thatcher Xs government nXt currently expected ease', 'rates next spring', 'NN NP NP NP NP POS NN RB RB VBN VB', 'NNS JJ NN', 'money paid for the use of money'
'strong profit process industries including chemical pulp paper offset higher', 'expense lower earnings company closed certain long-term contracts', 'JJ NN NN NNS VBG NN NN NN VBN JJR', 'NN JJR NNS NN VBN JJ JJ NNS', 'money paid for the use of money'
'net latest quarter included pretax $ 22X4 million sale combustion Xs minority', 'stein industrie gec alsthom nXvX netherlands', 'NN JJS NN VBD JJ NN AB AB NN NP POS NN', 'NP NP NP NP NP NP', 'a share in a company or business'
'trade cbi reports refocused attention high', 'rates corporate profitability helped rekindle underlying concerns prospects recession uXkX dealers said', 'NN NP NNS VBD NN JJ', 'NNS JJ NN VBD VB JJ NNS NNS NN NP NNS VBD', 'money paid for the use of money'
'market watchers also noted absence institutional', 'later session helped pave way broader declines wall street opened weaker', 'NN NNS RB VBD NN JJ', 'RB NN VBD VB NN JJR NNS NP NP VBD JJR', 'readiness to give attention'
'added market-makers knocking share prices midafternoon bid attract', 'action largely helped open way london Xs late declines', 'VBD NNS VBG NN NNS NN NN VB', 'NN RB VBD VB NN NP POS JJ NNS', 'readiness to give attention'
'insurance stocks provided early support market partly favorable brokerage recommendatons talk continental european', 'british life composite insurers', 'NN NNS VBD JJ NN NN RB JJ NN NNS NN JJ JJ', 'JJ NN JJ NNS', 'readiness to give attention'
'hand high-priced shares pioneer electronic sony failed spark investor', 'issues unlikely bought investment trust funds observers said', 'NN JJ NNS NP NP NP VBD VB NN', 'NNS JJ VBN NN NN NNS NNS VBD', 'readiness to give attention'
'majority stake paxus currently held nzi corpX diluted slightly less 50 % ibm acquires', '', 'NN NN NP RB VBN NP NP VBN RB JJR AB NN NP VBZ', '', 'a share in a company or business'
'mrX bond blamed rising australian', 'rates acquisition bell group high levels shortterm debt producing condition longer sustainable', 'NP NP VBD VBG JJ', 'NNS NN NP NP JJ NNS JJ NN VBG NN RBR JJ', 'money paid for the use of money'
'nXt name energy resources list signaling company Xs coal oil', 'sale total part', 'RB VB NN NNS NN VBG NN POS NN NN', 'NN NN NN', 'a share in a company or business'
'oil', 'already sold', 'NN', 'RB VBN', 'a share in a company or business'
'meanwhile sci tv barely pay cash', 'bill stay bankruptcy court soon reschedule lot bank loans junk bonds fallen due', 'RB NP NP RB VB NN', 'NN VB NN NN RB VB NN NN NNS NN NNS VBN JJ', 'money paid for the use of money'
'control data corpX said offering purchase $ 154X2 million amount 12 34 % senior notes due june 15 1991 par plus accrued', 'decX 8 purchase date', 'NP NP NP VBD VBG VB NN AB AB NN AB AB NN JJ NNS JJ NP AB AB NN CC VBN', 'NP AB NN NN', 'money paid for the use of money'
'economists said bond market Xs strength also sign investors expect federal reserve cut', 'rates amid growing evidence economy slowing', 'NNS VBD NN NN POS NN RB NN NNS VBP NP NP VB', 'NNS IN VBG NN NN VBG', 'money paid for the use of money'
'people looking past supply lower', 'rates Xre also worried whipsawed volatility stock market', 'NNS VBG JJ NN JJR', 'NNS VBP RB VBN VBN NN NN NN', 'money paid for the use of money'
'', 'japanese investors limited said michael moran chief economist daiwa securities america inc', '', 'JJ NNS VBN VBD NP NP NN NN NP NPS NP NP', 'readiness to give attention'
'however mrX moran added japanese generally positive view uXsX bond market expectations dollar remain strong', 'rates decline', 'RB NP NP VBD NP RB JJ NN NP NN NN NNS NN VB JJ', 'NNS VB', 'money paid for the use of money'
'small yield premium comparable treasurys lack liquidity hampering dealers X efforts drum', 'so-called bailout bonds', 'JJ NN NN JJ NNS NN NN VBG NNS POS NNS VB', 'JJ NN NNS', 'readiness to give attention'
'corporate issues several blue-chip companies tapped new-issue market yesterday take advantage falling', 'rates', 'NP NPS JJ JJ NNS VBD JJ NN NN VB NN VBG', 'NNS', 'money paid for the use of money'
'bonds goldman sachs AND coX group true', 'cost 7X17 %', 'NNS NP NP CC NP NN JJ', 'NN AB NN', 'money paid for the use of money'
'eurodollar bonds often issued foreign corporations', 'principal paid dollars', 'JJ NNS RB VBN JJ NNS', 'NN VBN NNS', 'money paid for the use of money'
'short', 'increased 6 % nasdaq over-the-counter market month ended octX 13', 'JJ', 'VBD AB NN NP NN NN NN VBD NP AB', 'a share in a company or business'
'', 'connected issue london exchange took unusual step letting traders establish officially sanctioned when-issued market', '', 'VBN NN NP NN VBD JJ NN VBG NNS VB RB VBN JJ NN', 'readiness to give attention'
'jaguar seems losing', 'giving gm minority stake said one individual close talks adding nXt surprise jaguar executives want wait see color ford bid first', 'NP VBZ VBG', 'VBG NP NN NN VBD AB NN JJ NNS VBG RB VB NP NNS VBP VB VB NN NP NN JJ', 'readiness to give attention'
'gm spokesman yesterday reiterated company Xs', 'acquiring minority stake help jaguar remain independent', 'NP NN NN VBD NN POS', 'VBG NN NN VB NP VB JJ', 'readiness to give attention'
'gm Xs', 'jaguar reflects desire help diversify uXsX company Xs products growing luxury-car segment market', 'NP POS', 'NP VBZ NN VB VB NP NN POS NNS VBG NN NN NN', 'readiness to give attention'
'august asarco lac dXamiante quebec subsidiary sold remaining one-third', 'asbestos mining limited partnership canada $ 11X7 million', 'NP NP NP NP NP NN VBD VBG JJ', 'NN NN VBN NN NP NN AB AB', 'a share in a company or business'
'however olivetti spokeswoman said ocn-ppl olivetti sold majority', 'last year nXt make equipment type precision necessary sophisticated productions', 'RB NP NN VBD NP NP VBD NN', 'JJ NN RB VB NN NN NN JJ JJ NNS', 'a share in a company or business'
'sinking economy depresses corporate earnings thus stock prices buoys bond prices', 'rates fall', 'VBG NN VBZ JJ NNS RB NN NNS VBZ NN NNS', 'NNS VBP', 'money paid for the use of money'
'corporate profits going decrease faster', 'rates fall probability Xll see negative economic growth fourth quarter', 'JJ NNS VBG VB RBR', 'NNS VB NN MD VB JJ JJ NN JJ NN', 'money paid for the use of money'
'mrX goldston president faberge incX Xs faberge uXsXaX division joining reebok september 1988 left august pursue', '', 'NP NP NN NP NP POS NP NP NN VBG NP NP AB VBN NP VB', '', 'activity, etc. that one gives attention to'
'time', 'rates came rapidly drX blumenfeld recalls', 'NN', 'NNS VBD RB NP NP VBZ', 'money paid for the use of money'
'cd effective yield 13X4 % issued 1984', 'rates general declined sharply since part price drX blumenfeld paid premium - additional amount top cd Xs base value plus accrued *interest represented cd Xs increased market value', 'NP JJ NN AB NN VBN AB', 'NNS JJ VBN RB IN NN NN NP NP VBD NN ? JJ NN NN NP POS NN NN CC VBN NN VBD NP POS VBN NN NN', 'money paid for the use of money'
'assumed principal', 'fully insured $ 100,000 adds', 'VBD NN', 'RB VBN NN AB VBZ', 'money paid for the use of money'
'federal deposit insurance pay principal', 'accrued date liquidation maximum $ 100,000', 'NP NN NN VB NN', 'VBN NN NN NN NN AB', 'money paid for the use of money'
'tax consequences zero-coupon investments - income tax payable year', 'accrued although *interest nXt actually paid maturity - zero-coupon cds usually sold tax-advantaged accounts finance things like retirement children Xs education', 'NN NNS JJ NNS ? NN NN JJ NN', 'VBN IN NN RB RB VBN NN ? JJ NPS RB VBN JJ NNS VB NNS IN NN NNS POS NN', 'money paid for the use of money'
'housing urban development secretary jack kemp called federal reserve system lower', 'rates', 'NP NP NP NP NP NP VBD NP NP NP VB', 'NNS', 'money paid for the use of money'
'speech mortgage bankers association mrX kemp broke administration Xs public silence fed complained', 'rates high', 'NN NP NPS NP NP NP VBD NN POS JJ NN NP VBD', 'NNS JJ', 'money paid for the use of money'
'convinced monetary policy country return', 'rates historical level 4 % 5 % immediate impact housing starts housing stock industry america refurbishing industrial system help third world economies considerably particularly favorable impact upon budget deficit mrX kemp said', 'VBN JJ NN NN VB', 'NNS JJ NN AB NN AB NN JJ NN NN NNS NN NN NN NP NN JJ NN VB NP NP NNS RB RB JJ NN IN NN NN NP NP VBD', 'money paid for the use of money'
'fed recently eased credit lowering bellwether federal funds', 'rate 8 34 % 9 %', 'NP RB VBD NN VBG NN JJ NNS', 'NN AB AB NN AB NN', 'money paid for the use of money'
'addition norfolk affiliate york capital incX purchase', 'eagle Xs secured lenders total $ 11X5 million guarantee much $ 8X2 million payments eagle Xs unsecured creditors', 'NN NP NN NP NP NP VB', 'NP POS VBN NNS VBP NN AB AB VBP RB NN AB AB NNS NP POS JJ NNS', 'a share in a company or business'
'', 'rates paid depositors lowered thrift withdrawals exceeded deposits $ 5X1 billion including *interest credited accounts', '', 'NNS VBD NNS VBN NN NNS VBD NNS NN AB AB VBG NN VBN NNS', 'money paid for the use of money'
'third quarter operating profit carbide Xs chemicals plastics business fell $ 238 million $ 352 million year ago accounting taxes', 'expense', 'JJ NN NN NN NP POS NNS NNS NN VBD NN AB AB NN AB AB NN IN VBG NNS', 'NN', 'money paid for the use of money'
