% File: interest_4-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'investor receiving 1,600 30', 'land property holdings near', 'NN VBG AB AB', 'NN NN NNS IN', 'readiness to give attention'
'hope amid monday gainers', 'rates peaked deutsche bank', 'NN IN NP NNS', 'NNS VBN NP NP', 'money paid for the use of money'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'', 'income rose 29 %', '', 'NN VBD AB NN', 'money paid for the use of money'
'annualized', 'rates certain investments reported', 'JJ', 'NNS JJ NNS VBN', 'money paid for the use of money'
'new-found reflecting', '140 uXsX companies taking', 'JJ VBG', 'AB NP NNS VBG', 'readiness to give attention'
'current basis said skase', 'rates australia company Xs', 'JJ NN VBD NP', 'NNS NP NN POS', 'money paid for the use of money'
'australian high qintex agreement', 'rates pilots X strike', 'JJ JJ NP NN', 'NNS NNS POS NN', 'money paid for the use of money'
'profit group showed accounts', 'tax depreciation exceed a$', 'NN NN VBD NNS', 'NN NN VB NN', 'money paid for the use of money'
'executives australia qintex concern', '', 'NNS NP NP NN', '', 'a share in a company or business'
'shown buyers military', 'national says ferroelectric chips', 'VBN NNS JJ', 'JJ VBZ JJ NNS', 'readiness to give attention'
'increasing thus shares repurchasing', 'expense reducing *interest income', 'VBG RB NNS VBG', 'NN VBG NN NN', 'money paid for the use of money'
'hefty weight stumbled issuers', 'payments', 'JJ NN VBN NNS', 'NNS', 'money paid for the use of money'
'tardy caused squeeze cash', 'payments put prestigious bloomingdale', 'JJ VBD NN NN', 'NNS VB JJ NP', 'money paid for the use of money'
'partnership investment held closely', 'primarily packaging industry', 'NN NN VBN RB', 'RB NN NN', 'a share in a company or business'
'family various bank savings', '', 'NN JJ NN NN', '', 'a share in a company or business'
'excited estate real brussels', '', 'VBN NN JJ NP', '', 'readiness to give attention'
'lost maker auto uXsX', 'became clear swedish auto', 'VBD NN NN NP', 'VBD JJ JJ NN', 'readiness to give attention'
'retains', 'acquiring candies articles sold', 'VBZ', 'VBG NNS NNS VBN', 'readiness to give attention'
'nXt cathay emphasizes', 'swapping equity stakes uXsX', 'RB NP VBZ', 'VBG NN NNS NP', 'readiness to give attention'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'8X68 $ plus 1,026X46', 'accrued decX 1', 'AB NN CC AB', 'VBN NP AB', 'money paid for the use of money'
'businessman arizona prominent jackson', 'real estate banking many', 'NN NP JJ NP', 'JJ NN NN JJ', 'a share in a company or business'
'preserving way best leaders', 'constituents said mrX garcia', 'VBG NN JJS NNS', 'NNS VBD NP NP', 'advantage, advancement or favor'
'net', 'bill jumped 85 %', 'JJ', 'NN VBD AB NN', 'money paid for the use of money'
'corpX bond', 'brewing media communications natural', 'NP NP', 'NN NNS NNS JJ', 'a share in a company or business'
'earnings', 'tax brewing dived 50', 'NNS', 'NN NN VBD AB', 'money paid for the use of money'
'high reason', 'rates labor costs', 'JJ NN', 'NNS NN NNS', 'money paid for the use of money'
'believe', 'rates continue trend lower', 'VBP', 'NNS VB VB RBR', 'money paid for the use of money'
'fact power staying showed', 'buying equities', 'NN NN NN VBD', 'VBG NNS', 'readiness to give attention'
'', 'natural environment dates youth', '', 'JJ NN VBZ NN', 'readiness to give attention'
'% 62X5 million 17', 'messrsX lee bynoe putting', 'NN AB AB AB', 'NPS NP NP VBG', 'a share in a company or business'
'concern X consumers decline', 'rates gas prices -', 'NN POS NNS NN', 'NNS NN NNS ?', 'money paid for the use of money'
'allow reserve federal prospects', 'rates move lower coming', 'VB NP NP NNS', 'NNS VB RBR VBG', 'money paid for the use of money'
'speculation soared prices summer', 'rates continue fall', 'NN VBD NNS NN', 'NNS VB VB', 'money paid for the use of money'
'plus changes price return', 'income', 'CC NNS NN NN', 'NN', 'money paid for the use of money'
'bonds longer-term quickly benefit', 'rates fall', 'NNS JJR RB VB', 'NNS VBP', 'money paid for the use of money'
'strong met sold issue', 'abroad particularly japanese investors', 'JJ VBD VBN NN', 'RB RB JJ NNS', 'readiness to give attention'
'cut loans existing principle', 'rate existing loans', 'VB NNS JJ NN', 'NN VBG NNS', 'money paid for the use of money'
'sold recently coX electric', 'liquid-crystal displays thompson-csf france', 'VBD RB NP NP', 'JJ NNS NP NP', 'a share in a company or business'
'let begins reserve federal', 'rates drift sufficiently lower', 'VB VBZ NP NP', 'NNS VB RB RBR', 'money paid for the use of money'
'lower concern dXcX washington', 'rates general purposes', 'JJR NN NP NP', 'NNS JJ NNS', 'money paid for the use of money'
'% 50 sell contracted', 'richmond-area shopping mall buyer', 'NN AB VB VBD', 'JJ NN NN NN', 'a share in a company or business'
'whipped troubles Xs saatchi', 'among outsiders *interested picking', 'VBN NNS POS NP', 'IN NNS VBN VBG', 'readiness to give attention'
'special dingell mrX insofar', 'nih institutions receive funding', 'JJ NP NP RB', 'NP NNS VBP NN', 'advantage, advancement or favor'
'rise last impact expected', 'rates earlier month takes', 'NN JJ NN VBN', 'NNS RBR NN VBZ', 'money paid for the use of money'
'increase prepared clear made', 'rates necessary ensure substantial', 'VB VBN JJ VBN', 'NNS JJ VB JJ', 'money paid for the use of money'
'decide government uXsX see', 'rates dollar stabilized', 'VB NN NP VB', 'NNS NN VBN', 'money paid for the use of money'
'thin generally attributed dealers', 'ahead weekend week Xs', 'JJ RB VBN NNS', 'RB NN NN VBZ', 'readiness to give attention'
'', 'may remain limited tomorrow', '', 'MD VB JJ NN', 'readiness to give attention'
'short-term high Xs market', 'rates', 'JJ JJ POS NN', 'NNS', 'money paid for the use of money'
'bank curbs relaxation forced', 'rates allow banks offer', 'NN NNS NN VBD', 'NNS VB NNS VB', 'money paid for the use of money'
'equity industrial speculation comment', 'platform launch hostile bid', 'NP NP NN VB', 'NN VB JJ NN', 'a share in a company or business'
'% 36 sale trust', 'country Xs largest paper', 'NN AB NN NP', 'NN POS JJS NN', 'a share in a company or business'
'minority receive also holders', 'new company', 'NN VB RB NNS', 'JJ NN', 'a share in a company or business'
'ownership controlling retain yet', '', 'NN JJ VBP CC', '', 'a share in a company or business'
'business pursue resigned jrX', 'company said', 'NN VB VBD NP', 'NN VBD', 'activity, etc. that one gives attention to'
'% 54 bought central', 'manhattan national corp', 'NN AB VBD NP', 'NP NP NP', 'a share in a company or business'
'well proposal reviewed said', 'third parties regarding business', 'RB NN VBD VBD', 'JJ NNS VBG NN', 'readiness to give attention'
'abandoned phelan mrX board', '', 'VBN NP NP NP', '', 'advantage, advancement or favor'
'introduced regulation new almost', 'protecting little guy invariably', 'VBN NN JJ RB', 'VBG JJ NN RB', 'advantage, advancement or favor'
'investor lack including factors', 'responsible', 'NN NN VBG NNS', 'JJ', 'readiness to give attention'
'investor solid drew apparently', '', 'NN JJ VBD RB', '', 'readiness to give attention'
'little said dealers german', 'treasury bonds ahead thursday', 'JJ VBD NNS JJ', 'NP NNS RB NP', 'readiness to give attention'
'buying greater means economy', 'metal', 'NN JJR VBZ NN', 'NN', 'readiness to give attention'
'buying sparked also', 'real-estate companies traders said', 'NN VBD RB', 'NN NNS NNS VBD', 'readiness to give attention'
'kluge wX john headed', 'telecommunications robotic painting computer', 'NP NP NP VBN', 'NN JJ NN NN', 'a share in a company or business'
'representing longer exchange complained', '', 'VBG RBR NN VBD', '', 'advantage, advancement or favor'
'buying significant outbreak rather', '', 'NN JJ NN RB', '', 'readiness to give attention'
'buying fresh said dealers', 'sidelined ahead potential market-affecting', 'NN JJ VBD NNS', 'VBN RB JJ JJ', 'readiness to give attention'
'buying strong generated bills', 'helped lift bond market', 'NN JJ VBD NNS', 'VBD VB NN NN', 'readiness to give attention'
'parties limited loans 18', 'generally means active workers', 'NNS VBN NNS AB', 'RB VBZ JJ NNS', 'a share in a company or business'
'national diminished earthquake devastating', 'teams came san francisco', 'JJ VBN NN VBG', 'NNS VBD NP NP', 'quality of causing attention to be given to'
'whose - group shareholder', 'represented three directors connected', 'WP ? NN NN', 'VBN AB NNS VBN', 'a share in a company or business'
'considerable unocal said spokesman', 'prospective buyers', 'JJ NP VBD NN', 'JJ NNS', 'readiness to give attention'
'uXsX panama', 'stake happily minor people', 'NP NP', 'NN RB JJ NNS', 'advantage, advancement or favor'
'accumulate notes debt payment-in-kind', 'notes nXt require cash', 'VBP NNS NN JJ', 'NNS RB VB NN', 'money paid for the use of money'
'mention nXt probably lawyers', 'horse racing though mrX', 'VB RB RB NNS', 'NN NN IN NP', 'readiness to give attention'
'investor japanese pool large', 'uXsX securities provide solid', 'NN JJ NN JJ', 'NP NNS VB JJ', 'readiness to give attention'
'buying', 'pont declared stock split', 'NN', 'NP VBD NN NN', 'readiness to give attention'
'coverage cash structure capital', 'meaningfully improve', 'NN NN NN NN', 'RB VB', 'money paid for the use of money'
'general golfersX. left-handed magazine', 'magazine something miss come', 'JJ ? JJ NN', 'NN NN VBP VB', 'activity, etc. that one gives attention to'
'black catered candidates white', 'win', 'JJ VBD NNS JJ', 'VB', 'advantage, advancement or favor'
'economic different many encompassed', '', 'JJ JJ JJ VBD', '', 'activity, etc. that one gives attention to'
'addition', 'ozone depletion extensively studied', 'NN', 'NN NN RB VBN', 'readiness to give attention'
'buying overall', 'remained strong monday many', 'NN JJ', 'VBD JJ NP JJ', 'readiness to give attention'
'minority taxes profit', 'extraordinary items climbed 27', 'NN NNS NN', 'JJ NNS VBD AB', 'a share in a company or business'
'uXsX', 'may big growing difficulties', 'NP', 'MD JJ VBG NNS', 'readiness to give attention'
'Xs uXsX', 'somalia consists single runway', 'POS NP', 'NP VBZ JJ NN', 'advantage, advancement or favor'
'financial usual greater taking', 'property sold', 'JJ JJ JJR VBG', 'NN VBN', 'a share in a company or business'
'conflicts customers reveal tests', '', 'NNS NNS VB NNS', '', 'advantage, advancement or favor'
'conflict definite considers francisco', 'auction house advise client', 'NN JJ VBZ NP', 'NN NN VB NN', 'advantage, advancement or favor'
'conflict see nXt', 'says sotheby Xs msX', 'NN VB RB', 'VBZ NP POS NP', 'advantage, advancement or favor'
'conflict alleged presented estate', 'set dummy corporation buy', 'NN JJ VBD NN', 'VBN JJ NN VB', 'advantage, advancement or favor'
'conflicts operators food-service franchisers', 'stabilize franchisee relations properly', 'NNS NNS NN NNS', 'VB NN NNS RB', 'advantage, advancement or favor'
'conflicts fees disclosure agents', '', 'NNS NNS NN NNS', '', 'advantage, advancement or favor'
'conflict problems nXt mining', 'risk cheating partner trelleborg', 'NN NNS RB NN', 'NN VBG NN NP', 'advantage, advancement or favor'
'conflicts prevent measures strong', 'already put place coffee', 'NNS VB NNS JJ', 'RB VBN NN NP', 'advantage, advancement or favor'
'conflicts built-in overcome supposed', '', 'NNS JJ VB VBN', '', 'advantage, advancement or favor'
'conflict', 'standard committee giving advice', 'NN', 'NN NN VBG NN', 'advantage, advancement or favor'
'conflict Xs', 'says referring involvement china', 'NN VBZ', 'VBZ VBG NN NP', 'advantage, advancement or favor'
'boost % 21 offset', 'expense reflecting higher consolidated', 'NN NN AB VBN', 'NN VBG JJR JJ', 'money paid for the use of money'
'scientific fall dramatic evidence', 'cold fusion research', 'JJ NN JJ NN', 'JJ NN NN', 'readiness to give attention'
'company', 'television trucking services glass-making', 'NN', 'NN NN NNS NN', 'a share in a company or business'
'high moment favor metals', 'rates determination industrial nations', 'JJ NN NN NNS', 'NNS NN JJ NNS', 'money paid for the use of money'
'fixed-dollar X bonds power', 'payments', 'JJ POS NNS NN', 'NNS', 'money paid for the use of money'
'companies invest bills legal', '', 'NNS VB NNS JJ', '', 'a share in a company or business'
'pay zeros like', 'maturity meaning buyers time', 'VBP NNS IN', 'NN VBG NNS VB', 'money paid for the use of money'
'inflation bonds falls price', 'rates kick', 'NN NNS VBZ NN', 'NNS VBP', 'money paid for the use of money'
'much without refunds get', 'children nXt attend specified', 'JJ IN NNS VBP', 'NNS RB VB VBN', 'money paid for the use of money'
'taxes back lot owes', 'civil fraud penalties', 'NNS JJ NN VBZ', 'JJ NN NNS', 'money paid for the use of money'
'', 'retirement community nevada knock', '', 'NN NN NP VB', 'a share in a company or business'
'sold flaX winter oil', 'oil wells select group', 'VBN NP NP NP', 'NN NNS JJ NN', 'a share in a company or business'
'based one scenarios two', 'rates company guarantees usually', 'VBN AB NNS AB', 'NNS NN VBZ RB', 'money paid for the use of money'
'high - impressive buildup', 'rate prevail long', 'JJ ? JJ NN', 'NN VB RB', 'money paid for the use of money'
'usually - period certain', 'rates stay high enough', 'RB ? NN JJ', 'NNS VBP JJ RB', 'money paid for the use of money'
'', 'rates plunge insurer may', '', 'NNS VBP NN MD', 'money paid for the use of money'
'higher marginally dividends extra', 'yield policy maintained 10', 'JJR RB NNS JJ', 'NN NN VBN AB', 'money paid for the use of money'
'higher fractionally assumed illustration', 'rate', 'JJR RB VBD NN', 'NN', 'money paid for the use of money'
'buying', 'also resurfaced technology sector', 'NN', 'RB VBD NN NN', 'readiness to give attention'
'high using economy british', 'rates essential instrument carry', 'JJ VBG NN JJ', 'NNS JJ NN VB', 'money paid for the use of money'
'high using policy monetary', 'rates fight inflation shore', 'JJ VBG NN JJ', 'NNS VB NN VB', 'money paid for the use of money'
'doubling despite - hoped', 'rates last 16 months', 'NN IN ? VBN', 'NNS JJ AB NNS', 'money paid for the use of money'
'', 'else money', '', 'RB NN', 'readiness to give attention'
'lot see', 'kind things says frank', 'NN VBP', 'NN NNS VBZ NP', 'readiness to give attention'
'short', 'new york stock exchange', 'JJ', 'NP NP NP NP', 'a share in a company or business'
'short month record consecutive', '', 'JJ NN NN JJ', '', 'a share in a company or business'
'short reported board big', 'dropped 523,920,214 shares octX', 'JJ VBD NP NP', 'VBD AB NNS NP', 'a share in a company or business'
'short amex', 'climbed 3 % 53,496,665', 'JJ NP', 'VBD AB NN AB', 'a share in a company or business'
'short amex', 'heading upward since mid-december', 'JJ NP', 'VBG RB IN NN', 'a share in a company or business'
'short', 'number shares nXt yet', 'JJ', 'NN NNS RB RB', 'a share in a company or business'
'short increase consider investors', 'bullish borrowed shares eventually', 'JJ NN VBP NNS', 'JJ VBN NNS RB', 'a share in a company or business'
'short fluctuation', 'certain stocks also may', 'JJ NN', 'JJ NNS RB MD', 'a share in a company or business'
'short board big measured', 'ratio slipped 3X36 last', 'JJ NP NP VBN', 'NN VBD AB JJ', 'a share in a company or business'
'short', 'international business machines corpX', 'JJ', 'NP NP NP NP', 'a share in a company or business'
'short corpX exxon watched', 'slid 4,469,167 shares 5,088,774', 'JJ NP NP VBN', 'VBD AB NNS AB', 'a share in a company or business'
'short amex', 'volume leader texas air', 'JJ NP', 'NN NN NP NP', 'a share in a company or business'
'short issues amex board', 'position least 100,000 shares', 'JJ NNS NP NP', 'NN JJS AB NNS', 'a share in a company or business'
'include fasteners industrial maker', 'costs $ 16X4 million', 'VB NNS JJ NN', 'NNS NN AB AB', 'money paid for the use of money'
'attractive relatively fears stock-market', 'rates pushed money-market mutual', 'JJ RB NNS NN', 'NNS VBD JJ JJ', 'money paid for the use of money'
'provisions million 457 us$', 'payments loans previously recorded', 'NNS AB AB NN', 'NNS NNS RB VBN', 'money paid for the use of money'
'foregone made provisions Xs', 'm$ 200 million loan', 'JJ VBN NNS POS', 'NN AB AB NN', 'money paid for the use of money'
'sign data read appeared', 'rates may fall', 'NN NNS VB VBD', 'NNS MD VB', 'money paid for the use of money'
'lower pessimism fostered friday', 'rates contributed stock market', 'JJR NN VBD NP', 'NNS VBD NN NN', 'money paid for the use of money'
'key allowed bank central', 'rate fall slightly try', 'JJ VBN NN JJ', 'NN VB RB VB', 'money paid for the use of money'
'watching', 'sport plummet years ski', 'VBG', 'NN VB NNS NN', 'readiness to give attention'
'controlling seek may october', 'harley-davidson seek representation company', 'NN VB MD NP', 'NP VB NN NN', 'a share in a company or business'
'says wyss mrX simple', 'rates almost always decline', 'VBZ NP NP JJ', 'NNS RB RB VBP', 'money paid for the use of money'
'falling tilts seesaw surely', 'rates force price previously', 'VBG VBZ NN RB', 'NNS VBP NN RB', 'money paid for the use of money'
'higher pay worth', 'newly issued bonds', 'JJR VBP JJ', 'RB VBN NNS', 'money paid for the use of money'
'', 'rates dropped makes sense', '', 'NNS VBN VBZ NN', 'money paid for the use of money'
'save corporations sense makes', 'costs', 'VBP NNS NN VBZ', 'NNS', 'money paid for the use of money'
'doubts economy inflation rate', 'rates fall much time', 'VBZ NN NN NN', 'NNS VB RB NN', 'money paid for the use of money'
'resettable bonds offering transaction', 'rate 10 % equity', 'JJ NNS VBG NN', 'NN AB NN NN', 'money paid for the use of money'
'hopes raised', 'rates continue move lower', 'NNS VBD', 'NNS VB VB RBR', 'money paid for the use of money'
'debt overhead administrative materials', '', 'NN NN JJ NNS', '', 'money paid for the use of money'
'sell unsuccessfully trying corpX', 'lower manhattan operations building', 'VB RB VBG NP', 'JJR NP NNS NN', 'a share in a company or business'
'sell tried chase building', 'along atlas estate Xs', 'VB VBD NP NN', 'IN NP NN POS', 'a share in a company or business'
'Xs estate atlas along', 'shortly october 1987 stock', 'POS NN NP IN', 'RB NP AB NN', 'a share in a company or business'
'enforce navy private lacking', 'pressuring uXsX treasury underwrite', 'VB NN JJ VBG', 'VBG NP NP VB', 'advantage, advancement or favor'
'financial credits forfeit made', 'films helped develop including', 'JJ NNS VB VBD', 'NNS VBN VB VBG', 'a share in a company or business'
'Xs warner rights movie', 'accommodate mgmua guber peters', 'POS NP NNS NN', 'VB NP NP NP', 'advantage, advancement or favor'
'think nXt obviously warner', 'let mrX guber mrX', 'VB RB RB NP', 'VB NP NP NP', 'advantage, advancement or favor'
'Xs columbia movies columbia', 'studio jointly owns warner', 'POS NP NNS NP', 'NN RB VBZ NP', 'a share in a company or business'
'moreover', 'asset-backed securities fully taxable', 'RB', 'JJ NNS RB JJ', 'money paid for the use of money'
'represent certificates letters capital', 'specially created trust represent', 'VBP NNS NNS NN', 'RB VBN NN VB', 'a share in a company or business'
'represent trust created specially', 'obligations banks citibank nXaX', 'VB NN VBN RB', 'NNS NNS NP NP', 'a share in a company or business'
'holds property care health', '139 facilities 30 states', 'VBZ NP NP NP', 'AB NNS AB NNS', 'a share in a company or business'
'one industry heavy lobbyists', 'hit hardest 1986 bill', 'AB NN JJ NNS', 'VBD RBS AB NN', 'a share in a company or business'
'company tokyo-based corpX keizaikai', 'include financial services book', 'NN JJ NP NP', 'VBP JJ NNS NN', 'a share in a company or business'
'excluding quarter expenses cost', 'increased 6X1 % $', 'VBG NN NNS NN', 'VBD AB NN NN', 'money paid for the use of money'
'strategic clear uXsX panama', 'waiting delta force may', 'JJ JJ NP NP', 'VBG NP NP MD', 'advantage, advancement or favor'
'refinery pipeline sale million', 'second refinery', 'NN NN NN AB', 'JJ NN', 'a share in a company or business'
'moves cost-reduction cited company', 'income', 'NNS JJ VBD NN', 'NN', 'money paid for the use of money'
'', 'paid semi-annually', '', 'VBN RB', 'money paid for the use of money'
'appears article whenever flashes', 'user', 'VBZ NN WRB NNS', 'NN', 'quality of causing attention to be given to'
'Xs subscriber matches story', 'area', 'POS NN VBZ NN', 'NN', 'activity, etc. that one gives attention to'
'topic hot', 'abortion issue great hotline', 'NN JJ', 'NN NN JJ NP', 'readiness to give attention'
'soviet rumors', 'also pushed prices soybean', 'JJ NP', 'RB VBD NNS NN', 'readiness to give attention'
'one-third newspapers regional 35', 'international herald tribune group', 'JJ NNS JJ AB', 'NP NP NP NN', 'a share in a company or business'
'reduce leeway reserve federal', 'rates', 'VB NN NP NP', 'NNS', 'money paid for the use of money'
'private pursuit attendant excesses', '', 'JJ NN JJ NNS', '', 'advantage, advancement or favor'
'also company published newspaper', 'book publishing fine china', 'RB NN VBN NN', 'NN NN JJ NN', 'a share in a company or business'
'business pursue resigned america', 'consulting', 'NN VB VBD NP', 'NN', 'activity, etc. that one gives attention to'
'controlling owning shareholders major', 'company', 'VBG VBG NNS JJ', 'NN', 'a share in a company or business'
'decline offset sector services', 'income', 'NN VBP NN NNS', 'NN', 'money paid for the use of money'
'lower', 'income occurred schlumberger spent', 'JJR', 'NN VBD NP VBD', 'money paid for the use of money'
'minority payments profit group', 'rose 252 million francs', 'NN NNS NN NN', 'VBD AB AB NNS', 'a share in a company or business'
'minority payment francs million', '', 'NN NN NNS AB', '', 'a share in a company or business'
'consumer revive quake said', 'little-publicized 1972 state law', 'NN VB NN VBD', 'JJ AB NN NN', 'readiness to give attention'
'one-sixth offering public initial', 'grace energy corpX adjustment', 'JJ NN JJ JJ', 'NP NP NP NN', 'a share in a company or business'
'higher price stock increase', 'expenses', 'JJR NN NN NN', 'NNS', 'money paid for the use of money'
'% 22 back bought', 'company fletcher challenge canada', 'NN AB RB VBD', 'NN NP NP NP', 'a share in a company or business'
'Xs doman raising said', 'western forest 56 %', 'POS NP VBG VBD', 'NP NP AB NN', 'a share in a company or business'
'% 44 remaining acquire', 'western forest currently held', 'NN AB VBG VB', 'NP NP RB VBN', 'a share in a company or business'
'uXsX direction future strategy', 'rates remains unclear', 'NP NN JJ NN', 'NNS VBZ JJ', 'money paid for the use of money'
'investor', 'switches back forth ceaselessly', 'NN', 'VBZ RB RB RB', 'readiness to give attention'
'attracted also companies construction', 'strong earnings outlooks traders', 'VBD RB NNS NN', 'JJ NNS NNS NNS', 'readiness to give attention'
'flurry despite', 'shares dealers said market', 'NN IN', 'NNS NNS VBD NN', 'readiness to give attention'
'uXkX high volatility Xs', 'rates', 'NP JJ NN POS', 'NNS', 'money paid for the use of money'
'high face demand retail', 'rates gained 20 #', 'JJ NN NN JJ', 'NNS VBD AB NN', 'money paid for the use of money'
'best nXt strategies business', 'stockholders', 'JJS RB NNS NN', 'NNS', 'advantage, advancement or favor'
'lower speculation prompted report', 'rates', 'JJR NN VBD NN', 'NNS', 'money paid for the use of money'
'higher loans consumer growth', 'margins minor loan losses', 'JJR NNS NN NN', 'NNS JJ NN NNS', 'money paid for the use of money'
'short board big', 'fell 4X2 % month', 'JJ NP NP', 'VBD AB NN NN', 'a share in a company or business'
'buying fresh covering short', 'later trading day', 'NN JJ NN JJ', 'RB NN NN', 'readiness to give attention'
'predicting said logan mrX', 'rates stay', 'VBG VBD NP NP', 'NNS VB', 'money paid for the use of money'
'management hotels', 'sold auction said john', 'NN NNS', 'VBN NN VBD NP', 'a share in a company or business'
'management properties value', 'nXt disclosed', 'NN NNS NN', 'RB VBN', 'a share in a company or business'
'sell plans trust angeles-based', '36 hotels corporation sell', 'VB VBZ NN JJ', 'AB NNS NN VB', 'a share in a company or business'
'sale excluded', 'trust corporation two las', 'NN VBN', 'NN NN AB NP', 'a share in a company or business'
'expressions new received said', 'two previous bidders', 'NNS JJ VBN VBD', 'AB JJ NNS', 'readiness to give attention'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'tighter volume loan lower', 'margins', 'JJR NN NN JJR', 'NNS', 'money paid for the use of money'
'widened loss third-period incX', 'expense cited - wsj', 'VBD NN JJ NP', 'NN VBN ? NP', 'money paid for the use of money'
'net lower margins profit', 'expense', 'JJ JJR NNS NN', 'NN', 'money paid for the use of money'
'missed healthvest', 'payment bank tokyo octX', 'VBD NP', 'NN NP NP NP', 'money paid for the use of money'
'principal million 10X6 $', 'payments owed since august', 'NN AB AB NN', 'NNS VBD IN NP', 'money paid for the use of money'
'cellular uXsX acquire opportunities', 'markets mccaw holds *interest', 'JJ NP VB NNS', 'NNS NP VBZ NN', 'a share in a company or business'
'holds mccaw markets *interest', 'contiguous markets unless lin', 'VBZ NP NNS NNS', 'JJ NNS IN NP', 'a share in a company or business'
'lin unless markets contiguous', 'contiguous', 'NP IN NNS JJ', 'JJ', 'a share in a company or business'
'best Xs lin nXt', '', 'JJS POS NP RB', '', 'advantage, advancement or favor'
'Xs company purchase companies', '', 'POS NN VB NNS', '', 'a share in a company or business'
'less far lose day', 'proceeding way', 'JJR RB VBP NN', 'VBG NN', 'money paid for the use of money'
'higher loans consumer growth', 'margins negligible loan losses', 'JJR NNS NN NN', 'NNS JJ NN NNS', 'money paid for the use of money'
'brazilian decline entirely caused', 'paid $ 5 million', 'JJ NN RB VBN', 'VBN NN AB AB', 'money paid for the use of money'
'net % 4X52', 'margin difference yield bank', 'JJ NN AB', 'NN NN NN NN', 'money paid for the use of money'
'pacific canadian', 'transportation telecommunications forest products', 'NP NP', 'NN NNS NN NNS', 'a share in a company or business'
'business pursue resigned also', 'capital holding said', 'NN VB VBD RB', 'NP NP VBD', 'activity, etc. that one gives attention to'
'public degree high laissez-faire', 'stake', 'JJ NN JJ FW', 'NN', 'advantage, advancement or favor'
'uXsX direction sidelines back', 'rates remained unclear', 'NP NN NNS RB', 'NNS VBD JJ', 'money paid for the use of money'
'owners property insurers japanese', 'san francisco area still', 'NNS NN NNS JJ', 'NP NP NN RB', 'a share in a company or business'
'hanging still uncertainty', 'rates dollar market failed', 'VBG RB NN', 'NNS NN NN VBD', 'money paid for the use of money'
'', 'rate-sensitive shares steel construction', '', 'JJ NNS NN NN', 'money paid for the use of money'
'allowing credit clamp relax', 'rates drop bit pushing', 'VBG NN NN VB', 'NNS VB NN VBG', 'money paid for the use of money'
'equity Xs company sale', 'south africa effective septX', 'NN POS NN NN', 'NP NP JJ NP', 'a share in a company or business'
'majority sold businesses cosmetics', 'brazilian affiliate announced reorganization', 'NN VBD NNS NNS', 'JJ NN VBD NN', 'a share in a company or business'
'% 10 sell agreed', 'rocky mountain bankcard systems', 'NN AB VB VBD', 'NP NP NP NPS', 'a share in a company or business'
'high like unpleasantness blame', 'rates slow economic growth', 'JJ IN NN NN', 'NNS JJ JJ NN', 'money paid for the use of money'
'public unresponsive fed problem', '', 'JJ JJ NP NN', '', 'advantage, advancement or favor'
'public view incorrect responsive', '', 'JJ NN JJ JJ', '', 'advantage, advancement or favor'
'lower longing constant built-in', 'rates', 'JJR NN JJ NN', 'NNS', 'money paid for the use of money'
'- represents secretary objectives', 'rates short-run economic expansion', '? VBZ NN NNS', 'NNS JJ JJ NN', 'money paid for the use of money'
'accruing nXt million 146', 'bank said', 'VBG RB AB AB', 'NN VBD', 'money paid for the use of money'
'soft-drink wine retaining company', 'nXt break results businesses', 'NN NN VBG NN', 'RB NN NNS NNS', 'a share in a company or business'
'brewing bolster intends whitbread', 'effort grab share sales', 'NN VB VBZ NP', 'NN VB NN NNS', 'a share in a company or business'
'britain', 'include beefeater steakhouse chain', 'NP', 'VBP NP NN NN', 'a share in a company or business'
'lower reserve federal speculation', 'rates coming weeks helped', 'VB NP NP NN', 'NNS VBG NNS VBD', 'money paid for the use of money'
'best contrary relationships business', 'amr shareholders', 'JJS JJ NNS NN', 'NP NNS', 'advantage, advancement or favor'
'company louis stX partners', 'solid waste recycling telecommunications', 'NN NP NP NPS', 'JJ NN NN NN', 'a share in a company or business'
'value face discount sold', 'accruing instead paid holder', 'NN NN NN VBN', 'VBG RB VBN NN', 'money paid for the use of money'
'accrued rules current', 'deductible company issuing debt', 'VBN NNS JJ', 'JJ NN VBG NN', 'money paid for the use of money'
'buy-out million 100 $', 'payments existing rule allow', 'NN AB AB NN', 'NNS VBG NN VB', 'money paid for the use of money'
'rather company surviving stake', 'payments', 'RB NN VBG NN', 'NNS', 'money paid for the use of money'
'lower since', 'rate nXt fall junk-bond', 'JJR IN', 'NN RB VB NN', 'money paid for the use of money'
'pay nXt maturity five-year', 'least one year first', 'VB RB NN JJ', 'JJS AB NN JJ', 'money paid for the use of money'
