% File: interest_3-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'insurance pay principal', 'accrued date liquidation', 'NN VB NN', 'VBN NN NN', 'money paid for the use of money'
'tax payable year', 'accrued although *interest', 'NN JJ NN', 'VBN IN NN', 'money paid for the use of money'
'reserve system lower', 'rates', 'NP NP VB', 'NNS', 'money paid for the use of money'
'silence fed complained', 'rates high', 'NN NP VBD', 'NNS JJ', 'money paid for the use of money'
'policy country return', 'rates historical level', 'NN NN VB', 'NNS JJ NN', 'money paid for the use of money'
'bellwether federal funds', 'rate 8 34', 'NN JJ NNS', 'NN AB AB', 'money paid for the use of money'
'capital incX purchase', 'eagle Xs secured', 'NP NP VB', 'NP POS VBN', 'a share in a company or business'
'', 'rates paid depositors', '', 'NNS VBD NNS', 'money paid for the use of money'
'ago accounting taxes', 'expense', 'IN VBG NNS', 'NN', 'money paid for the use of money'
'company defined earnings', 'taxes depreciation amortization', 'NN VBD NNS', 'NNS NN NN', 'money paid for the use of money'
'cool banks X', 'financing transaction', 'VB NNS POS', 'VBG NN', 'readiness to give attention'
'accept financing fees', 'rates invested transaction', 'VB NN NNS', 'NNS VBD NN', 'money paid for the use of money'
'issue includes current', 'bonds due 1991-2000', 'NN VBZ JJ', 'NNS JJ AB', 'money paid for the use of money'
'current', 'serial bonds priced', 'JJ', 'NN NNS VBN', 'money paid for the use of money'
'', 'bonds treated preference', '', 'NNS VBN NN', 'money paid for the use of money'
'company buoyant diverted', 'payments', 'NN JJ VBN', 'NNS', 'money paid for the use of money'
'team whose sole', 'responsibility goodson papers', 'NN WP JJ', 'NN NP NNS', 'activity, etc. that one gives attention to'
'mixte Xs insurance', 'acquired three weeks', 'NP POS NN', 'VBN AB NNS', 'a share in a company or business'
'payment allianz insurance', 'bought help swell', 'NN NP NN', 'VBN VB VB', 'a share in a company or business'
'ikegai corpX Xs', 'ikegai-goss joint venture', 'NP NP POS', 'NP JJ NN', 'a share in a company or business'
'federal reserve lower', 'rates effort stimulate', 'NP NP VB', 'NNS NN VB', 'money paid for the use of money'
'nXt shown much', 'refcorp bonds', 'RB VBN JJ', 'NP NNS', 'readiness to give attention'
'holder probably act', 'minority holders one', 'NN RB VB', 'NN NNS AB', 'advantage, advancement or favor'
'20 % stake', 'new realty company', 'AB NN NN', 'JJ NN NN', 'a share in a company or business'
'note accrue', 'rate 13X5 %', 'NN VB', 'NN AB NN', 'money paid for the use of money'
'spending cash immediate', 'payments mrX roulac', 'VBG NN JJ', 'NNS NP NP', 'money paid for the use of money'
'bankruptcy-law filing missing', 'payments $ 1', 'NN NN VBG', 'NNS NN AB', 'money paid for the use of money'
'1,600 receiving investor', 'land property holdings', 'AB VBG NN', 'NN NN NNS', 'readiness to give attention'
'monday amid hope', 'rates peaked deutsche', 'NP IN NN', 'NNS VBN NP', 'money paid for the use of money'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'', 'income rose 29', '', 'NN VBD AB', 'money paid for the use of money'
'annualized', 'rates certain investments', 'JJ', 'NNS JJ NNS', 'money paid for the use of money'
'reflecting new-found', '140 uXsX companies', 'VBG JJ', 'AB NP NNS', 'readiness to give attention'
'said basis current', 'rates australia company', 'VBD NN JJ', 'NNS NP NN', 'money paid for the use of money'
'qintex high australian', 'rates pilots X', 'NP JJ JJ', 'NNS NNS POS', 'money paid for the use of money'
'showed group profit', 'tax depreciation exceed', 'VBD NN NN', 'NN NN VB', 'money paid for the use of money'
'qintex australia executives', '', 'NP NP NNS', '', 'a share in a company or business'
'military buyers shown', 'national says ferroelectric', 'JJ NNS VBN', 'JJ VBZ JJ', 'readiness to give attention'
'shares thus increasing', 'expense reducing *interest', 'NNS RB VBG', 'NN VBG NN', 'money paid for the use of money'
'stumbled weight hefty', 'payments', 'VBN NN JJ', 'NNS', 'money paid for the use of money'
'squeeze caused tardy', 'payments put prestigious', 'NN VBD JJ', 'NNS VB JJ', 'money paid for the use of money'
'held investment partnership', 'primarily packaging industry', 'VBN NN NN', 'RB NN NN', 'a share in a company or business'
'bank various family', '', 'NN JJ NN', '', 'a share in a company or business'
'real estate excited', '', 'JJ NN VBN', '', 'readiness to give attention'
'auto maker lost', 'became clear swedish', 'NN NN VBD', 'VBD JJ JJ', 'readiness to give attention'
'retains', 'acquiring candies articles', 'VBZ', 'VBG NNS NNS', 'readiness to give attention'
'emphasizes cathay nXt', 'swapping equity stakes', 'VBZ NP RB', 'VBG NN NNS', 'readiness to give attention'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'plus $ 8X68', 'accrued decX 1', 'CC NN AB', 'VBN NP AB', 'money paid for the use of money'
'prominent arizona businessman', 'real estate banking', 'JJ NP NN', 'JJ NN NN', 'a share in a company or business'
'best way preserving', 'constituents said mrX', 'JJS NN VBG', 'NNS VBD NP', 'advantage, advancement or favor'
'net', 'bill jumped 85', 'JJ', 'NN VBD AB', 'money paid for the use of money'
'bond corpX', 'brewing media communications', 'NP NP', 'NN NNS NNS', 'a share in a company or business'
'earnings', 'tax brewing dived', 'NNS', 'NN NN VBD', 'money paid for the use of money'
'reason high', 'rates labor costs', 'NN JJ', 'NNS NN NNS', 'money paid for the use of money'
'believe', 'rates continue trend', 'VBP', 'NNS VB VB', 'money paid for the use of money'
'staying power fact', 'buying equities', 'NN NN NN', 'VBG NNS', 'readiness to give attention'
'', 'natural environment dates', '', 'JJ NN VBZ', 'readiness to give attention'
'million 62X5 %', 'messrsX lee bynoe', 'AB AB NN', 'NPS NP NP', 'a share in a company or business'
'consumers X concern', 'rates gas prices', 'NNS POS NN', 'NNS NN NNS', 'money paid for the use of money'
'federal reserve allow', 'rates move lower', 'NP NP VB', 'NNS VB RBR', 'money paid for the use of money'
'prices soared speculation', 'rates continue fall', 'NNS VBD NN', 'NNS VB VB', 'money paid for the use of money'
'price changes plus', 'income', 'NN NNS CC', 'NN', 'money paid for the use of money'
'quickly longer-term bonds', 'rates fall', 'RB JJR NNS', 'NNS VBP', 'money paid for the use of money'
'sold met strong', 'abroad particularly japanese', 'VBN VBD JJ', 'RB RB JJ', 'readiness to give attention'
'existing loans cut', 'rate existing loans', 'JJ NNS VB', 'NN VBG NNS', 'money paid for the use of money'
'coX recently sold', 'liquid-crystal displays thompson-csf', 'NP RB VBD', 'JJ NNS NP', 'a share in a company or business'
'reserve begins let', 'rates drift sufficiently', 'NP VBZ VB', 'NNS VB RB', 'money paid for the use of money'
'dXcX concern lower', 'rates general purposes', 'NP NN JJR', 'NNS JJ NNS', 'money paid for the use of money'
'sell 50 %', 'richmond-area shopping mall', 'VB AB NN', 'JJ NN NN', 'a share in a company or business'
'Xs troubles whipped', 'among outsiders *interested', 'POS NNS VBN', 'IN NNS VBN', 'readiness to give attention'
'mrX dingell special', 'nih institutions receive', 'NP NP JJ', 'NP NNS VBP', 'advantage, advancement or favor'
'impact last rise', 'rates earlier month', 'NN JJ NN', 'NNS RBR NN', 'money paid for the use of money'
'clear prepared increase', 'rates necessary ensure', 'JJ VBN VB', 'NNS JJ VB', 'money paid for the use of money'
'uXsX government decide', 'rates dollar stabilized', 'NP NN VB', 'NNS NN VBN', 'money paid for the use of money'
'attributed generally thin', 'ahead weekend week', 'VBN RB JJ', 'RB NN NN', 'readiness to give attention'
'', 'may remain limited', '', 'MD VB JJ', 'readiness to give attention'
'Xs high short-term', 'rates', 'POS JJ JJ', 'NNS', 'money paid for the use of money'
'relaxation curbs bank', 'rates allow banks', 'NN NNS NN', 'NNS VB NNS', 'money paid for the use of money'
'speculation industrial equity', 'platform launch hostile', 'NN NP NP', 'NN VB JJ', 'a share in a company or business'
'sale 36 %', 'country Xs largest', 'NN AB NN', 'NN POS JJS', 'a share in a company or business'
'also receive minority', 'new company', 'RB VB NN', 'JJ NN', 'a share in a company or business'
'retain controlling ownership', '', 'VBP JJ NN', '', 'a share in a company or business'
'resigned pursue business', 'company said', 'VBD VB NN', 'NN VBD', 'activity, etc. that one gives attention to'
'bought 54 %', 'manhattan national corp', 'VBD AB NN', 'NP NP NP', 'a share in a company or business'
'reviewed proposal well', 'third parties regarding', 'VBD NN RB', 'JJ NNS VBG', 'readiness to give attention'
'mrX phelan abandoned', '', 'NP NP VBN', '', 'advantage, advancement or favor'
'new regulation introduced', 'protecting little guy', 'JJ NN VBN', 'VBG JJ NN', 'advantage, advancement or favor'
'including lack investor', 'responsible', 'VBG NN NN', 'JJ', 'readiness to give attention'
'drew solid investor', '', 'VBD JJ NN', '', 'readiness to give attention'
'dealers said little', 'treasury bonds ahead', 'NNS VBD JJ', 'NP NNS RB', 'readiness to give attention'
'means greater buying', 'metal', 'VBZ JJR NN', 'NN', 'readiness to give attention'
'also sparked buying', 'real-estate companies traders', 'RB VBD NN', 'NN NNS NNS', 'readiness to give attention'
'john wX kluge', 'telecommunications robotic painting', 'NP NP NP', 'NN JJ NN', 'a share in a company or business'
'exchange longer representing', '', 'NN RBR VBG', '', 'advantage, advancement or favor'
'outbreak significant buying', '', 'NN JJ NN', '', 'readiness to give attention'
'said fresh buying', 'sidelined ahead potential', 'VBD JJ NN', 'VBN RB JJ', 'readiness to give attention'
'generated strong buying', 'helped lift bond', 'VBD JJ NN', 'VBD VB NN', 'readiness to give attention'
'loans limited parties', 'generally means active', 'NNS VBN NNS', 'RB VBZ JJ', 'a share in a company or business'
'earthquake diminished national', 'teams came san', 'NN VBN JJ', 'NNS VBD NP', 'quality of causing attention to be given to'
'group - whose', 'represented three directors', 'NN ? WP', 'VBN AB NNS', 'a share in a company or business'
'said unocal considerable', 'prospective buyers', 'VBD NP JJ', 'JJ NNS', 'readiness to give attention'
'panama uXsX', 'stake happily minor', 'NP NP', 'NN RB JJ', 'advantage, advancement or favor'
'debt notes accumulate', 'notes nXt require', 'NN NNS VBP', 'NNS RB VB', 'money paid for the use of money'
'probably nXt mention', 'horse racing though', 'RB RB VB', 'NN NN IN', 'readiness to give attention'
'pool japanese investor', 'uXsX securities provide', 'NN JJ NN', 'NP NNS VB', 'readiness to give attention'
'buying', 'pont declared stock', 'NN', 'NP VBD NN', 'readiness to give attention'
'structure cash coverage', 'meaningfully improve', 'NN NN NN', 'RB VB', 'money paid for the use of money'
'left-handed golfersX. general', 'magazine something miss', 'JJ ? JJ', 'NN NN VBP', 'activity, etc. that one gives attention to'
'candidates catered black', 'win', 'NNS VBD JJ', 'VB', 'advantage, advancement or favor'
'many different economic', '', 'JJ JJ JJ', '', 'activity, etc. that one gives attention to'
'addition', 'ozone depletion extensively', 'NN', 'NN NN RB', 'readiness to give attention'
'overall buying', 'remained strong monday', 'JJ NN', 'VBD JJ NP', 'readiness to give attention'
'profit taxes minority', 'extraordinary items climbed', 'NN NNS NN', 'JJ NNS VBD', 'a share in a company or business'
'uXsX', 'may big growing', 'NP', 'MD JJ VBG', 'readiness to give attention'
'uXsX Xs', 'somalia consists single', 'NP POS', 'NP VBZ JJ', 'advantage, advancement or favor'
'greater usual financial', 'property sold', 'JJR JJ JJ', 'NN VBN', 'a share in a company or business'
'reveal customers conflicts', '', 'VB NNS NNS', '', 'advantage, advancement or favor'
'considers definite conflict', 'auction house advise', 'VBZ JJ NN', 'NN NN VB', 'advantage, advancement or favor'
'nXt see conflict', 'says sotheby Xs', 'RB VB NN', 'VBZ NP POS', 'advantage, advancement or favor'
'presented alleged conflict', 'set dummy corporation', 'VBD JJ NN', 'VBN JJ NN', 'advantage, advancement or favor'
'food-service operators conflicts', 'stabilize franchisee relations', 'NN NNS NNS', 'VB NN NNS', 'advantage, advancement or favor'
'disclosure fees conflicts', '', 'NN NNS NNS', '', 'advantage, advancement or favor'
'nXt problems conflict', 'risk cheating partner', 'RB NNS NN', 'NN VBG NN', 'advantage, advancement or favor'
'measures prevent conflicts', 'already put place', 'NNS VB NNS', 'RB VBN NN', 'advantage, advancement or favor'
'overcome built-in conflicts', '', 'VB JJ NNS', '', 'advantage, advancement or favor'
'conflict', 'standard committee giving', 'NN', 'NN NN VBG', 'advantage, advancement or favor'
'Xs conflict', 'says referring involvement', 'VBZ NN', 'VBZ VBG NN', 'advantage, advancement or favor'
'21 % boost', 'expense reflecting higher', 'AB NN NN', 'NN VBG JJR', 'money paid for the use of money'
'dramatic fall scientific', 'cold fusion research', 'JJ NN JJ', 'JJ NN NN', 'readiness to give attention'
'company', 'television trucking services', 'NN', 'NN NN NNS', 'a share in a company or business'
'favor moment high', 'rates determination industrial', 'NN NN JJ', 'NNS NN JJ', 'money paid for the use of money'
'bonds X fixed-dollar', 'payments', 'NNS POS JJ', 'NNS', 'money paid for the use of money'
'bills invest companies', '', 'NNS VB NNS', '', 'a share in a company or business'
'like zeros pay', 'maturity meaning buyers', 'IN NNS VBP', 'NN VBG NNS', 'money paid for the use of money'
'falls bonds inflation', 'rates kick', 'VBZ NNS NN', 'NNS VBP', 'money paid for the use of money'
'refunds without much', 'children nXt attend', 'NNS IN JJ', 'NNS RB VB', 'money paid for the use of money'
'lot back taxes', 'civil fraud penalties', 'NN JJ NNS', 'JJ NN NNS', 'money paid for the use of money'
'', 'retirement community nevada', '', 'NN NN NP', 'a share in a company or business'
'winter flaX sold', 'oil wells select', 'NP NP VBN', 'NN NNS JJ', 'a share in a company or business'
'scenarios one based', 'rates company guarantees', 'NNS AB VBN', 'NNS NN VBZ', 'money paid for the use of money'
'impressive - high', 'rate prevail long', 'JJ ? JJ', 'NN VB RB', 'money paid for the use of money'
'period - usually', 'rates stay high', 'NN ? RB', 'NNS VBP JJ', 'money paid for the use of money'
'', 'rates plunge insurer', '', 'NNS VBP NN', 'money paid for the use of money'
'dividends marginally higher', 'yield policy maintained', 'NNS RB JJR', 'NN NN VBN', 'money paid for the use of money'
'assumed fractionally higher', 'rate', 'VBD RB JJR', 'NN', 'money paid for the use of money'
'buying', 'also resurfaced technology', 'NN', 'RB VBD NN', 'readiness to give attention'
'economy using high', 'rates essential instrument', 'NN VBG JJ', 'NNS JJ NN', 'money paid for the use of money'
'policy using high', 'rates fight inflation', 'NN VBG JJ', 'NNS VB NN', 'money paid for the use of money'
'- despite doubling', 'rates last 16', '? IN NN', 'NNS JJ AB', 'money paid for the use of money'
'', 'else money', '', 'RB NN', 'readiness to give attention'
'see lot', 'kind things says', 'VBP NN', 'NN NNS VBZ', 'readiness to give attention'
'short', 'new york stock', 'JJ', 'NP NP NP', 'a share in a company or business'
'record month short', '', 'NN NN JJ', '', 'a share in a company or business'
'board reported short', 'dropped 523,920,214 shares', 'NP VBD JJ', 'VBD AB NNS', 'a share in a company or business'
'amex short', 'climbed 3 %', 'NP JJ', 'VBD AB NN', 'a share in a company or business'
'amex short', 'heading upward since', 'NP JJ', 'VBG RB IN', 'a share in a company or business'
'short', 'number shares nXt', 'JJ', 'NN NNS RB', 'a share in a company or business'
'consider increase short', 'bullish borrowed shares', 'VBP NN JJ', 'JJ VBN NNS', 'a share in a company or business'
'fluctuation short', 'certain stocks also', 'NN JJ', 'JJ NNS RB', 'a share in a company or business'
'big board short', 'ratio slipped 3X36', 'NP NP JJ', 'NN VBD AB', 'a share in a company or business'
'short', 'international business machines', 'JJ', 'NP NP NP', 'a share in a company or business'
'exxon corpX short', 'slid 4,469,167 shares', 'NP NP JJ', 'VBD AB NNS', 'a share in a company or business'
'amex short', 'volume leader texas', 'NP JJ', 'NN NN NP', 'a share in a company or business'
'amex issues short', 'position least 100,000', 'NP NNS JJ', 'NN JJS AB', 'a share in a company or business'
'industrial fasteners include', 'costs $ 16X4', 'JJ NNS VB', 'NNS NN AB', 'money paid for the use of money'
'fears relatively attractive', 'rates pushed money-market', 'NNS RB JJ', 'NNS VBD JJ', 'money paid for the use of money'
'457 million provisions', 'payments loans previously', 'AB AB NNS', 'NNS NNS RB', 'money paid for the use of money'
'provisions made foregone', 'm$ 200 million', 'NNS VBN JJ', 'NN AB AB', 'money paid for the use of money'
'read data sign', 'rates may fall', 'VB NNS NN', 'NNS MD VB', 'money paid for the use of money'
'fostered pessimism lower', 'rates contributed stock', 'VBD NN JJR', 'NNS VBD NN', 'money paid for the use of money'
'bank allowed key', 'rate fall slightly', 'NN VBN JJ', 'NN VB RB', 'money paid for the use of money'
'watching', 'sport plummet years', 'VBG', 'NN VB NNS', 'readiness to give attention'
'may seek controlling', 'harley-davidson seek representation', 'MD VB NN', 'NP VB NN', 'a share in a company or business'
'mrX wyss says', 'rates almost always', 'NP NP VBZ', 'NNS RB RB', 'money paid for the use of money'
'seesaw tilts falling', 'rates force price', 'NN VBZ VBG', 'NNS VBP NN', 'money paid for the use of money'
'worth pay higher', 'newly issued bonds', 'JJ VBP JJR', 'RB VBN NNS', 'money paid for the use of money'
'', 'rates dropped makes', '', 'NNS VBN VBZ', 'money paid for the use of money'
'sense corporations save', 'costs', 'NN NNS VBP', 'NNS', 'money paid for the use of money'
'inflation economy doubts', 'rates fall much', 'NN NN VBZ', 'NNS VB RB', 'money paid for the use of money'
'offering bonds resettable', 'rate 10 %', 'VBG NNS JJ', 'NN AB NN', 'money paid for the use of money'
'raised hopes', 'rates continue move', 'VBD NNS', 'NNS VB VB', 'money paid for the use of money'
'administrative overhead debt', '', 'JJ NN NN', '', 'money paid for the use of money'
'trying unsuccessfully sell', 'lower manhattan operations', 'VBG RB VB', 'JJR NP NNS', 'a share in a company or business'
'chase tried sell', 'along atlas estate', 'NP VBD VB', 'IN NP NN', 'a share in a company or business'
'atlas estate Xs', 'shortly october 1987', 'NP NN POS', 'RB NP AB', 'a share in a company or business'
'private navy enforce', 'pressuring uXsX treasury', 'JJ NN VB', 'VBG NP NP', 'advantage, advancement or favor'
'forfeit credits financial', 'films helped develop', 'VB NNS JJ', 'NNS VBN VB', 'a share in a company or business'
'rights warner Xs', 'accommodate mgmua guber', 'NNS NP POS', 'VB NP NP', 'advantage, advancement or favor'
'obviously nXt think', 'let mrX guber', 'RB RB VB', 'VB NP NP', 'advantage, advancement or favor'
'movies columbia Xs', 'studio jointly owns', 'NNS NP POS', 'NN RB VBZ', 'a share in a company or business'
'moreover', 'asset-backed securities fully', 'RB', 'JJ NNS RB', 'money paid for the use of money'
'letters certificates represent', 'specially created trust', 'NNS NNS VBP', 'RB VBN NN', 'a share in a company or business'
'created trust represent', 'obligations banks citibank', 'VBN NN VB', 'NNS NNS NP', 'a share in a company or business'
'care property holds', '139 facilities 30', 'NP NP VBZ', 'AB NNS AB', 'a share in a company or business'
'heavy industry one', 'hit hardest 1986', 'JJ NN AB', 'VBD RBS AB', 'a share in a company or business'
'corpX tokyo-based company', 'include financial services', 'NP JJ NN', 'VBP JJ NNS', 'a share in a company or business'
'expenses quarter excluding', 'increased 6X1 %', 'NNS NN VBG', 'VBD AB NN', 'money paid for the use of money'
'uXsX clear strategic', 'waiting delta force', 'NP JJ JJ', 'VBG NP NP', 'advantage, advancement or favor'
'sale pipeline refinery', 'second refinery', 'NN NN NN', 'JJ NN', 'a share in a company or business'
'cited cost-reduction moves', 'income', 'VBD JJ NNS', 'NN', 'money paid for the use of money'
'', 'paid semi-annually', '', 'VBN RB', 'money paid for the use of money'
'whenever article appears', 'user', 'WRB NN VBZ', 'NN', 'quality of causing attention to be given to'
'matches subscriber Xs', 'area', 'VBZ NN POS', 'NN', 'activity, etc. that one gives attention to'
'hot topic', 'abortion issue great', 'JJ NN', 'NN NN JJ', 'readiness to give attention'
'rumors soviet', 'also pushed prices', 'NP JJ', 'RB VBD NNS', 'readiness to give attention'
'regional newspapers one-third', 'international herald tribune', 'JJ NNS JJ', 'NP NP NP', 'a share in a company or business'
'reserve leeway reduce', 'rates', 'NP NN VB', 'NNS', 'money paid for the use of money'
'attendant pursuit private', '', 'JJ NN JJ', '', 'advantage, advancement or favor'
'published company also', 'book publishing fine', 'VBN NN RB', 'NN NN JJ', 'a share in a company or business'
'resigned pursue business', 'consulting', 'VBD VB NN', 'NN', 'activity, etc. that one gives attention to'
'shareholders owning controlling', 'company', 'NNS VBG VBG', 'NN', 'a share in a company or business'
'sector offset decline', 'income', 'NN VBP NN', 'NN', 'money paid for the use of money'
'lower', 'income occurred schlumberger', 'JJR', 'NN VBD NP', 'money paid for the use of money'
'profit payments minority', 'rose 252 million', 'NN NNS NN', 'VBD AB AB', 'a share in a company or business'
'francs payment minority', '', 'NNS NN NN', '', 'a share in a company or business'
'quake revive consumer', 'little-publicized 1972 state', 'NN VB NN', 'JJ AB NN', 'readiness to give attention'
'public offering one-sixth', 'grace energy corpX', 'JJ NN JJ', 'NP NP NP', 'a share in a company or business'
'stock price higher', 'expenses', 'NN NN JJR', 'NNS', 'money paid for the use of money'
'back 22 %', 'company fletcher challenge', 'RB AB NN', 'NN NP NP', 'a share in a company or business'
'raising doman Xs', 'western forest 56', 'VBG NP POS', 'NP NP AB', 'a share in a company or business'
'remaining 44 %', 'western forest currently', 'VBG AB NN', 'NP NP RB', 'a share in a company or business'
'future direction uXsX', 'rates remains unclear', 'JJ NN NP', 'NNS VBZ JJ', 'money paid for the use of money'
'investor', 'switches back forth', 'NN', 'VBZ RB RB', 'readiness to give attention'
'companies also attracted', 'strong earnings outlooks', 'NNS RB VBD', 'JJ NNS NNS', 'readiness to give attention'
'despite flurry', 'shares dealers said', 'IN NN', 'NNS NNS VBD', 'readiness to give attention'
'volatility high uXkX', 'rates', 'NN JJ NP', 'NNS', 'money paid for the use of money'
'demand face high', 'rates gained 20', 'NN NN JJ', 'NNS VBD AB', 'money paid for the use of money'
'strategies nXt best', 'stockholders', 'NNS RB JJS', 'NNS', 'advantage, advancement or favor'
'prompted speculation lower', 'rates', 'VBD NN JJR', 'NNS', 'money paid for the use of money'
'consumer loans higher', 'margins minor loan', 'NN NNS JJR', 'NNS JJ NN', 'money paid for the use of money'
'big board short', 'fell 4X2 %', 'NP NP JJ', 'VBD AB NN', 'a share in a company or business'
'covering fresh buying', 'later trading day', 'NN JJ NN', 'RB NN NN', 'readiness to give attention'
'logan said predicting', 'rates stay', 'NP VBD VBG', 'NNS VB', 'money paid for the use of money'
'hotels management', 'sold auction said', 'NNS NN', 'VBN NN VBD', 'a share in a company or business'
'value properties management', 'nXt disclosed', 'NN NNS NN', 'RB VBN', 'a share in a company or business'
'trust plans sell', '36 hotels corporation', 'NN VBZ VB', 'AB NNS NN', 'a share in a company or business'
'excluded sale', 'trust corporation two', 'VBN NN', 'NN NN AB', 'a share in a company or business'
'received new expressions', 'two previous bidders', 'VBN JJ NNS', 'AB JJ NNS', 'readiness to give attention'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'loan volume tighter', 'margins', 'NN NN JJR', 'NNS', 'money paid for the use of money'
'third-period loss widened', 'expense cited -', 'JJ NN VBD', 'NN VBN ?', 'money paid for the use of money'
'margins lower net', 'expense', 'NNS JJR JJ', 'NN', 'money paid for the use of money'
'healthvest missed', 'payment bank tokyo', 'NP VBD', 'NN NP NP', 'money paid for the use of money'
'10X6 million principal', 'payments owed since', 'AB AB NN', 'NNS VBD IN', 'money paid for the use of money'
'acquire uXsX cellular', 'markets mccaw holds', 'VB NP JJ', 'NNS NP VBZ', 'a share in a company or business'
'markets mccaw holds', 'contiguous markets unless', 'NNS NP VBZ', 'JJ NNS IN', 'a share in a company or business'
'markets unless lin', 'contiguous', 'NNS IN NP', 'JJ', 'a share in a company or business'
'lin Xs best', '', 'NP POS JJS', '', 'advantage, advancement or favor'
'purchase company Xs', '', 'VB NN POS', '', 'a share in a company or business'
'lose far less', 'proceeding way', 'VBP RB JJR', 'VBG NN', 'money paid for the use of money'
'consumer loans higher', 'margins negligible loan', 'NN NNS JJR', 'NNS JJ NN', 'money paid for the use of money'
'entirely decline brazilian', 'paid $ 5', 'RB NN JJ', 'VBN NN AB', 'money paid for the use of money'
'4X52 % net', 'margin difference yield', 'AB NN JJ', 'NN NN NN', 'money paid for the use of money'
'canadian pacific', 'transportation telecommunications forest', 'NP NP', 'NN NNS NN', 'a share in a company or business'
'resigned pursue business', 'capital holding said', 'VBD VB NN', 'NP NP VBD', 'activity, etc. that one gives attention to'
'high degree public', 'stake', 'JJ NN JJ', 'NN', 'advantage, advancement or favor'
'sidelines direction uXsX', 'rates remained unclear', 'NNS NN NP', 'NNS VBD JJ', 'money paid for the use of money'
'insurers property owners', 'san francisco area', 'NNS NN NNS', 'NP NP NN', 'a share in a company or business'
'uncertainty still hanging', 'rates dollar market', 'NN RB VBG', 'NNS NN NN', 'money paid for the use of money'
'', 'rate-sensitive shares steel', '', 'JJ NNS NN', 'money paid for the use of money'
'clamp credit allowing', 'rates drop bit', 'NN NN VBG', 'NNS VB NN', 'money paid for the use of money'
'company Xs equity', 'south africa effective', 'NN POS NN', 'NP NP JJ', 'a share in a company or business'
'businesses sold majority', 'brazilian affiliate announced', 'NNS VBD NN', 'JJ NN VBD', 'a share in a company or business'
'sell 10 %', 'rocky mountain bankcard', 'VB AB NN', 'NP NP NP', 'a share in a company or business'
'unpleasantness like high', 'rates slow economic', 'NN IN JJ', 'NNS JJ JJ', 'money paid for the use of money'
'fed unresponsive public', '', 'NP JJ JJ', '', 'advantage, advancement or favor'
'incorrect view public', '', 'JJ NN JJ', '', 'advantage, advancement or favor'
'constant longing lower', 'rates', 'JJ NN JJR', 'NNS', 'money paid for the use of money'
'secretary represents -', 'rates short-run economic', 'NN VBZ ?', 'NNS JJ JJ', 'money paid for the use of money'
'million nXt accruing', 'bank said', 'AB RB VBG', 'NN VBD', 'money paid for the use of money'
'retaining wine soft-drink', 'nXt break results', 'VBG NN NN', 'RB NN NNS', 'a share in a company or business'
'intends bolster brewing', 'effort grab share', 'VBZ VB NN', 'NN VB NN', 'a share in a company or business'
'britain', 'include beefeater steakhouse', 'NP', 'VBP NP NN', 'a share in a company or business'
'federal reserve lower', 'rates coming weeks', 'NP NP VB', 'NNS VBG NNS', 'money paid for the use of money'
'relationships contrary best', 'amr shareholders', 'NNS JJ JJS', 'NP NNS', 'advantage, advancement or favor'
'stX louis company', 'solid waste recycling', 'NP NP NN', 'JJ NN NN', 'a share in a company or business'
'discount face value', 'accruing instead paid', 'NN NN NN', 'VBG RB VBN', 'money paid for the use of money'
'current rules accrued', 'deductible company issuing', 'JJ NNS VBN', 'JJ NN VBG', 'money paid for the use of money'
'100 million buy-out', 'payments existing rule', 'AB AB NN', 'NNS VBG NN', 'money paid for the use of money'
'surviving company rather', 'payments', 'VBG NN RB', 'NNS', 'money paid for the use of money'
'since lower', 'rate nXt fall', 'IN JJR', 'NN RB VB', 'money paid for the use of money'
'maturity nXt pay', 'least one year', 'NN RB VB', 'JJS AB NN', 'money paid for the use of money'
'bill deny deduction', 'actually paid', 'NN VB NN', 'RB VBN', 'money paid for the use of money'
'holder taxed accrued', '', 'NN VBN VBN', '', 'money paid for the use of money'
'', 'deduction engine made', '', 'NN NN VBD', 'money paid for the use of money'
'northrop Xs', 'expense also soared', 'NP POS', 'NN RB VBD', 'money paid for the use of money'
'', 'expense surged $', '', 'NN VBD NN', 'money paid for the use of money'
'entrepreneur bump entrenched', '', 'NN VB JJ', '', 'advantage, advancement or favor'
'despite recent declines', 'rates money funds', 'IN JJ NNS', 'NNS NN NNS', 'money paid for the use of money'
'300 billion computing', 'government Xs loans', 'AB AB VBG', 'NN POS NNS', 'money paid for the use of money'
'preferred shares purchase', 'start-up company underwrite', 'JJ NNS VB', 'JJ NN VB', 'a share in a company or business'
